'Elapsed time','II','III','V','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg'
'183:21:08.008',-,-0.011,-,86.280
'183:21:08.016',-,-0.011,-,82.320
'183:21:08.024',-,-0.022,-,79.080
'183:21:08.032',-,-0.022,-,75.960
'183:21:08.040',-,-0.022,-,73.560
'183:21:08.048',-,-0.011,-,71.880
'183:21:08.056',-,-0.011,-,71.160
'183:21:08.064',-,-0.011,-,71.160
'183:21:08.072',-,-0.011,-,70.320
'183:21:08.080',-,-0.011,-,70.320
'183:21:08.088',-,-0.011,-,70.320
'183:21:08.096',-,-0.011,-,69.480
'183:21:08.104',-,-0.011,-,69.480
'183:21:08.112',-,-0.011,-,69.480
'183:21:08.120',-,-0.011,-,68.760
'183:21:08.128',-,-0.011,-,67.920
'183:21:08.136',-,-0.011,-,67.080
'183:21:08.144',-,-0.011,-,66.360
'183:21:08.152',-,-0.011,-,65.520
'183:21:08.160',-,-0.011,-,64.680
'183:21:08.168',-,-0.011,-,64.680
'183:21:08.176',-,-0.011,-,63.120
'183:21:08.184',-,-0.011,-,63.120
'183:21:08.192',-,-0.022,-,62.280
'183:21:08.200',-,-0.022,-,61.560
'183:21:08.208',-,-0.022,-,60.720
'183:21:08.216',-,-0.022,-,59.880
'183:21:08.224',-,-0.022,-,59.880
'183:21:08.232',-,-0.011,-,59.160
'183:21:08.240',-,-0.022,-,58.320
'183:21:08.248',-,-0.022,-,58.320
'183:21:08.256',-,-0.022,-,57.480
'183:21:08.264',-,-0.011,-,57.480
'183:21:08.272',-,-0.022,-,56.760
'183:21:08.280',-,-0.011,-,56.760
'183:21:08.288',-,-0.011,-,55.920
'183:21:08.296',-,-0.011,-,55.920
'183:21:08.304',-,-0.011,-,55.080
'183:21:08.312',-,-0.011,-,55.080
'183:21:08.320',-,-0.011,-,54.360
'183:21:08.328',-,-0.011,-,54.360
'183:21:08.336',-,-0.011,-,54.360
'183:21:08.344',-,-0.011,-,53.520
'183:21:08.352',-,-0.022,-,53.520
'183:21:08.360',-,-0.033,-,52.680
'183:21:08.368',-,0.043,-,52.680
'183:21:08.376',-,0.261,-,52.680
'183:21:08.384',-,0.543,-,51.960
'183:21:08.392',-,0.598,-,51.960
'183:21:08.400',-,0.413,-,51.120
'183:21:08.408',-,0.163,-,51.120
'183:21:08.416',-,0.011,-,51.120
'183:21:08.424',-,-0.033,-,50.280
'183:21:08.432',-,-0.043,-,50.280
'183:21:08.440',-,-0.043,-,50.280
'183:21:08.448',-,-0.054,-,49.560
'183:21:08.456',-,-0.054,-,49.560
'183:21:08.464',-,-0.054,-,49.560
'183:21:08.472',-,-0.054,-,50.280
'183:21:08.480',-,-0.054,-,51.120
'183:21:08.488',-,-0.054,-,54.360
'183:21:08.496',-,-0.043,-,59.160
'183:21:08.504',-,-0.043,-,65.520
'183:21:08.512',-,-0.043,-,74.280
'183:21:08.520',-,-0.043,-,82.320
'183:21:08.528',-,-0.043,-,90.360
'183:21:08.536',-,-0.033,-,95.880
'183:21:08.544',-,-0.033,-,100.680
'183:21:08.552',-,-0.022,-,103.920
'183:21:08.560',-,-0.022,-,106.320
'183:21:08.568',-,-0.022,-,107.160
'183:21:08.576',-,-0.033,-,107.880
'183:21:08.584',-,-0.033,-,107.880
'183:21:08.592',-,-0.033,-,107.880
'183:21:08.600',-,-0.033,-,107.880
'183:21:08.608',-,-0.033,-,107.880
'183:21:08.616',-,-0.033,-,107.880
'183:21:08.624',-,-0.033,-,108.720
'183:21:08.632',-,-0.033,-,108.720
'183:21:08.640',-,-0.033,-,108.720
'183:21:08.648',-,-0.033,-,109.560
'183:21:08.656',-,-0.033,-,109.560
'183:21:08.664',-,-0.033,-,109.560
'183:21:08.672',-,-0.033,-,109.560
'183:21:08.680',-,-0.022,-,109.560
'183:21:08.688',-,-0.022,-,108.720
'183:21:08.696',-,-0.022,-,107.880
'183:21:08.704',-,-0.022,-,107.160
'183:21:08.712',-,-0.033,-,105.480
'183:21:08.720',-,-0.033,-,104.760
'183:21:08.728',-,-0.033,-,102.360
'183:21:08.736',-,-0.033,-,100.680
'183:21:08.744',-,-0.033,-,98.280
'183:21:08.752',-,-0.033,-,95.160
'183:21:08.760',-,-0.033,-,91.080
'183:21:08.768',-,-0.022,-,87.120
'183:21:08.776',-,-0.022,-,83.160
'183:21:08.784',-,-0.022,-,79.080
'183:21:08.792',-,-0.022,-,76.680
'183:21:08.800',-,-0.022,-,75.120
'183:21:08.808',-,-0.022,-,73.560
'183:21:08.816',-,-0.022,-,73.560
'183:21:08.824',-,-0.022,-,72.720
'183:21:08.832',-,-0.022,-,72.720
'183:21:08.840',-,-0.022,-,72.720
'183:21:08.848',-,-0.011,-,72.720
'183:21:08.856',-,0.000,-,71.880
'183:21:08.864',-,0.000,-,71.880
'183:21:08.872',-,0.000,-,71.160
'183:21:08.880',-,-0.011,-,70.320
'183:21:08.888',-,0.000,-,69.480
'183:21:08.896',-,0.000,-,68.760
'183:21:08.904',-,0.000,-,67.920
'183:21:08.912',-,0.000,-,67.080
'183:21:08.920',-,-0.011,-,66.360
'183:21:08.928',-,-0.011,-,65.520
'183:21:08.936',-,-0.011,-,64.680
'183:21:08.944',-,-0.011,-,63.960
'183:21:08.952',-,-0.011,-,63.120
'183:21:08.960',-,-0.011,-,62.280
'183:21:08.968',-,-0.011,-,61.560
'183:21:08.976',-,-0.011,-,60.720
'183:21:08.984',-,0.000,-,60.720
'183:21:08.992',-,-0.011,-,59.880
'183:21:09.000',-,-0.011,-,59.160
'183:21:09.008',-,-0.011,-,59.160
'183:21:09.016',-,-0.022,-,58.320
'183:21:09.024',-,-0.022,-,57.480
'183:21:09.032',-,-0.022,-,57.480
'183:21:09.040',-,-0.022,-,56.760
'183:21:09.048',-,-0.022,-,56.760
'183:21:09.056',-,-0.022,-,55.920
'183:21:09.064',-,-0.022,-,55.920
'183:21:09.072',-,-0.022,-,55.080
'183:21:09.080',-,-0.022,-,55.080
'183:21:09.088',-,-0.022,-,54.360
'183:21:09.096',-,-0.033,-,54.360
'183:21:09.104',-,0.022,-,53.520
'183:21:09.112',-,0.239,-,53.520
'183:21:09.120',-,0.511,-,52.680
'183:21:09.128',-,0.620,-,52.680
'183:21:09.136',-,0.435,-,51.960
'183:21:09.144',-,0.185,-,51.960
'183:21:09.152',-,0.033,-,51.960
'183:21:09.160',-,-0.022,-,51.120
'183:21:09.168',-,-0.043,-,51.120
'183:21:09.176',-,-0.043,-,50.280
'183:21:09.184',-,-0.054,-,50.280
'183:21:09.192',-,-0.054,-,50.280
'183:21:09.200',-,-0.065,-,49.560
'183:21:09.208',-,-0.065,-,50.280
'183:21:09.216',-,-0.054,-,51.120
'183:21:09.224',-,-0.054,-,52.680
'183:21:09.232',-,-0.054,-,56.760
'183:21:09.240',-,-0.043,-,62.280
'183:21:09.248',-,-0.043,-,70.320
'183:21:09.256',-,-0.033,-,78.360
'183:21:09.264',-,-0.033,-,86.280
'183:21:09.272',-,-0.033,-,92.760
'183:21:09.280',-,-0.033,-,98.280
'183:21:09.288',-,-0.033,-,101.520
'183:21:09.296',-,-0.043,-,103.920
'183:21:09.304',-,-0.043,-,105.480
'183:21:09.312',-,-0.043,-,106.320
'183:21:09.320',-,-0.043,-,107.160
'183:21:09.328',-,-0.043,-,107.160
'183:21:09.336',-,-0.043,-,106.320
'183:21:09.344',-,-0.043,-,106.320
'183:21:09.352',-,-0.043,-,106.320
'183:21:09.360',-,-0.043,-,106.320
'183:21:09.368',-,-0.043,-,106.320
'183:21:09.376',-,-0.033,-,107.160
'183:21:09.384',-,-0.033,-,107.160
'183:21:09.392',-,-0.033,-,107.160
'183:21:09.400',-,-0.033,-,107.160
'183:21:09.408',-,-0.033,-,107.160
'183:21:09.416',-,-0.022,-,107.160
'183:21:09.424',-,-0.022,-,106.320
'183:21:09.432',-,-0.022,-,105.480
'183:21:09.440',-,-0.022,-,104.760
'183:21:09.448',-,-0.022,-,103.920
'183:21:09.456',-,-0.022,-,102.360
'183:21:09.464',-,-0.022,-,99.960
'183:21:09.472',-,-0.033,-,98.280
'183:21:09.480',-,-0.033,-,95.880
'183:21:09.488',-,-0.033,-,92.760
'183:21:09.496',-,-0.033,-,88.680
'183:21:09.504',-,-0.022,-,84.720
'183:21:09.512',-,-0.011,-,80.760
