'Elapsed time','I','II','III','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'6:25:54.016',-,-0.208,-,-,-0.136,-,-,59.200,24.360
'6:25:54.024',-,-0.056,-,-,-0.136,-,-,59.200,24.360
'6:25:54.032',-,0.368,-,-,0.120,-,-,59.200,23.880
'6:25:54.040',-,0.528,-,-,0.296,-,-,59.200,23.880
'6:25:54.048',-,0.248,-,-,0.256,-,-,59.200,23.880
'6:25:54.056',-,-0.112,-,-,0.016,-,-,58.400,23.880
'6:25:54.064',-,-0.136,-,-,-0.040,-,-,58.400,23.880
'6:25:54.072',-,0.048,-,-,-0.056,-,-,58.400,24.360
'6:25:54.080',-,0.056,-,-,0.000,-,-,58.400,24.360
'6:25:54.088',-,0.000,-,-,0.000,-,-,58.400,24.360
'6:25:54.096',-,0.000,-,-,-0.016,-,-,58.400,24.720
'6:25:54.104',-,-0.016,-,-,-0.016,-,-,58.400,26.280
'6:25:54.112',-,-0.024,-,-,-0.016,-,-,60.800,28.320
'6:25:54.120',-,-0.016,-,-,-0.040,-,-,63.200,30.720
'6:25:54.128',-,-0.024,-,-,-0.040,-,-,66.400,33.120
'6:25:54.136',-,-0.032,-,-,-0.016,-,-,72.800,35.520
'6:25:54.144',-,-0.024,-,-,-0.040,-,-,80.000,37.080
'6:25:54.152',-,-0.016,-,-,-0.016,-,-,86.400,37.920
'6:25:54.160',-,-0.024,-,-,-0.016,-,-,93.600,38.760
'6:25:54.168',-,-0.032,-,-,-0.040,-,-,100.800,39.480
'6:25:54.176',-,-0.024,-,-,-0.016,-,-,106.400,39.960
'6:25:54.184',-,-0.016,-,-,-0.016,-,-,110.400,40.320
'6:25:54.192',-,-0.024,-,-,-0.016,-,-,113.600,41.160
'6:25:54.200',-,-0.016,-,-,-0.016,-,-,117.600,41.520
'6:25:54.208',-,-0.024,-,-,-0.016,-,-,118.400,42.360
'6:25:54.216',-,-0.024,-,-,-0.016,-,-,118.400,42.720
'6:25:54.224',-,-0.032,-,-,-0.016,-,-,116.000,43.080
'6:25:54.232',-,-0.016,-,-,-0.016,-,-,112.800,43.920
'6:25:54.240',-,-0.032,-,-,-0.040,-,-,108.800,44.280
'6:25:54.248',-,-0.024,-,-,-0.016,-,-,106.400,44.760
'6:25:54.256',-,-0.040,-,-,-0.040,-,-,105.600,45.120
'6:25:54.264',-,-0.048,-,-,-0.040,-,-,104.000,45.960
'6:25:54.272',-,-0.056,-,-,-0.040,-,-,103.200,45.960
'6:25:54.280',-,-0.048,-,-,-0.056,-,-,101.600,46.320
'6:25:54.288',-,-0.040,-,-,-0.040,-,-,100.800,45.960
'6:25:54.296',-,-0.032,-,-,-0.040,-,-,99.200,45.480
'6:25:54.304',-,-0.008,-,-,-0.040,-,-,96.800,44.760
'6:25:54.312',-,0.016,-,-,0.000,-,-,93.600,43.560
'6:25:54.320',-,0.048,-,-,0.000,-,-,89.600,42.360
'6:25:54.328',-,0.064,-,-,0.016,-,-,87.200,40.680
'6:25:54.336',-,0.064,-,-,0.040,-,-,84.000,39.120
'6:25:54.344',-,0.064,-,-,0.040,-,-,81.600,37.560
'6:25:54.352',-,0.064,-,-,0.040,-,-,80.000,36.360
'6:25:54.360',-,0.056,-,-,0.040,-,-,80.000,35.520
'6:25:54.368',-,0.064,-,-,0.016,-,-,80.000,35.160
'6:25:54.376',-,0.048,-,-,0.040,-,-,80.000,34.680
'6:25:54.384',-,0.048,-,-,0.016,-,-,80.000,34.680
'6:25:54.392',-,0.040,-,-,0.016,-,-,80.000,35.160
'6:25:54.400',-,0.048,-,-,0.016,-,-,80.000,35.520
'6:25:54.408',-,0.040,-,-,0.016,-,-,78.400,35.520
'6:25:54.416',-,0.048,-,-,0.016,-,-,78.400,35.880
'6:25:54.424',-,0.040,-,-,0.016,-,-,77.600,36.360
