'Elapsed time','II','III','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'58:02:04.464',-,-,0.363,0.000,96.800,-
'58:02:04.472',-,-,0.264,0.000,99.200,-
'58:02:04.480',-,-,0.176,0.000,100.000,-
'58:02:04.488',-,-,0.176,-0.079,99.200,-
'58:02:04.496',-,-,0.088,-0.167,97.600,-
'58:02:04.504',-,-,0.000,-0.167,94.400,-
'58:02:04.512',-,-,0.088,-0.167,90.400,-
'58:02:04.520',-,-,0.000,-0.167,85.600,-
'58:02:04.528',-,-,0.088,-0.167,80.800,-
'58:02:04.536',-,-,0.000,-0.167,76.800,-
'58:02:04.544',-,-,0.088,-0.167,75.200,-
'58:02:04.552',-,-,0.000,-0.167,74.400,-
'58:02:04.560',-,-,0.176,-0.079,75.200,-
'58:02:04.568',-,-,0.088,-0.079,75.200,-
'58:02:04.576',-,-,0.176,-0.079,74.400,-
'58:02:04.584',-,-,0.000,-0.167,72.800,-
'58:02:04.592',-,-,0.000,-0.167,72.000,-
'58:02:04.600',-,-,0.000,-0.167,70.400,-
'58:02:04.608',-,-,0.000,-0.167,68.800,-
'58:02:04.616',-,-,0.000,-0.167,66.400,-
'58:02:04.624',-,-,-0.088,-0.167,64.800,-
'58:02:04.632',-,-,0.363,-0.167,63.200,-
'58:02:04.640',-,-,-0.176,-0.167,62.400,-
'58:02:04.648',-,-,-0.264,-0.167,60.800,-
'58:02:04.656',-,-,-0.264,-0.167,59.200,-
'58:02:04.664',-,-,-0.363,-0.167,58.400,-
'58:02:04.672',-,-,-0.264,-0.079,57.600,-
'58:02:04.680',-,-,-0.363,-0.079,57.600,-
'58:02:04.688',-,-,-0.264,-0.079,58.400,-
'58:02:04.696',-,-,-0.176,0.000,59.200,-
'58:02:04.704',-,-,-0.264,0.000,59.200,-
'58:02:04.712',-,-,0.000,0.000,60.000,-
'58:02:04.720',-,-,0.451,0.000,60.800,-
'58:02:04.728',-,-,0.538,0.000,60.800,-
'58:02:04.736',-,-,-0.363,0.000,61.600,-
'58:02:04.744',-,-,-0.725,-0.579,61.600,-
'58:02:04.752',-,-,-0.088,-1.333,61.600,-
'58:02:04.760',-,-,-1.088,-2.412,60.800,-
'58:02:04.768',-,-,-2.813,-2.833,60.800,-
'58:02:04.776',-,-,-2.813,-2.333,60.800,-
'58:02:04.784',-,-,-0.626,-1.833,60.800,-
'58:02:04.792',-,-,-1.000,-1.500,60.000,-
'58:02:04.800',-,-,-1.538,-1.167,60.000,-
'58:02:04.808',-,-,-0.626,-0.833,60.000,-
'58:02:04.816',-,-,-0.451,-0.667,60.000,-
'58:02:04.824',-,-,-0.626,-0.412,60.000,-
'58:02:04.832',-,-,0.176,-0.246,59.200,-
'58:02:04.840',-,-,-0.813,-0.079,58.400,-
'58:02:04.848',-,-,-0.813,0.079,57.600,-
'58:02:04.856',-,-,-0.363,0.333,56.800,-
'58:02:04.864',-,-,-0.176,0.500,56.000,-
'58:02:04.872',-,-,0.363,0.579,55.200,-
'58:02:04.880',-,-,1.451,0.667,54.400,-
'58:02:04.888',-,-,2.363,0.579,53.600,-
'58:02:04.896',-,-,3.088,0.500,53.600,-
'58:02:04.904',-,-,3.813,0.333,52.800,-
'58:02:04.912',-,-,4.000,0.079,52.000,-
'58:02:04.920',-,-,3.363,0.000,51.200,-
'58:02:04.928',-,-,2.725,-0.167,51.200,-
'58:02:04.936',-,-,2.813,-0.246,50.400,-
'58:02:04.944',-,-,2.451,-0.333,50.400,-
'58:02:04.952',-,-,2.264,-0.412,49.600,-
'58:02:04.960',-,-,2.176,-0.412,49.600,-
'58:02:04.968',-,-,2.000,-0.412,49.600,-
'58:02:04.976',-,-,1.901,-0.500,51.200,-
'58:02:04.984',-,-,1.725,-0.500,52.800,-
'58:02:04.992',-,-,1.626,-0.579,55.200,-
'58:02:05.000',-,-,1.538,-0.579,58.400,-
'58:02:05.008',-,-,1.538,-0.579,61.600,-
'58:02:05.016',-,-,1.363,-0.667,64.800,-
'58:02:05.024',-,-,1.264,-0.746,68.800,-
'58:02:05.032',-,-,1.176,-0.746,72.000,-
'58:02:05.040',-,-,1.088,-0.833,75.200,-
'58:02:05.048',-,-,1.088,-0.912,78.400,-
'58:02:05.056',-,-,1.000,-0.912,80.800,-
'58:02:05.064',-,-,0.901,-0.912,83.200,-
'58:02:05.072',-,-,0.725,-1.000,84.000,-
'58:02:05.080',-,-,0.725,-0.912,85.600,-
'58:02:05.088',-,-,0.626,-1.000,85.600,-
'58:02:05.096',-,-,0.725,-0.912,86.400,-
'58:02:05.104',-,-,0.725,-0.912,85.600,-
'58:02:05.112',-,-,0.538,-0.912,84.800,-
'58:02:05.120',-,-,0.538,-0.912,83.200,-
'58:02:05.128',-,-,0.725,-0.833,81.600,-
'58:02:05.136',-,-,0.725,-0.746,79.200,-
'58:02:05.144',-,-,0.725,-0.746,76.800,-
'58:02:05.152',-,-,0.725,-0.746,73.600,-
'58:02:05.160',-,-,0.538,-0.746,70.400,-
'58:02:05.168',-,-,0.626,-0.746,68.000,-
'58:02:05.176',-,-,0.538,-0.746,64.800,-
'58:02:05.184',-,-,0.538,-0.746,62.400,-
'58:02:05.192',-,-,0.626,-0.746,60.000,-
'58:02:05.200',-,-,0.451,-0.746,57.600,-
'58:02:05.208',-,-,0.538,-0.746,56.000,-
'58:02:05.216',-,-,0.538,-0.746,54.400,-
'58:02:05.224',-,-,0.538,-0.746,52.800,-
'58:02:05.232',-,-,0.538,-0.746,52.000,-
'58:02:05.240',-,-,0.451,-0.667,51.200,-
'58:02:05.248',-,-,0.538,-0.746,51.200,-
'58:02:05.256',-,-,0.538,-0.579,50.400,-
'58:02:05.264',-,-,0.538,-0.579,50.400,-
'58:02:05.272',-,-,0.538,-0.579,51.200,-
'58:02:05.280',-,-,0.538,-0.579,51.200,-
'58:02:05.288',-,-,0.538,-0.579,52.000,-
'58:02:05.296',-,-,0.626,-0.500,52.000,-
'58:02:05.304',-,-,0.538,-0.579,52.800,-
'58:02:05.312',-,-,0.451,-0.412,53.600,-
'58:02:05.320',-,-,0.000,-0.746,54.400,-
'58:02:05.328',-,-,-0.451,-1.500,54.400,-
'58:02:05.336',-,-,-0.901,-2.079,55.200,-
'58:02:05.344',-,-,-1.363,-2.667,56.000,-
'58:02:05.352',-,-,-1.176,-2.579,56.800,-
'58:02:05.360',-,-,-0.813,-2.079,56.800,-
'58:02:05.368',-,-,-0.451,-1.667,56.800,-
'58:02:05.376',-,-,-0.176,-1.412,56.800,-
'58:02:05.384',-,-,-0.088,-1.079,56.800,-
'58:02:05.392',-,-,0.088,-0.912,56.800,-
'58:02:05.400',-,-,0.000,-0.746,57.600,-
