'Elapsed time','I','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'9:22:08.520',-,-0.111,-,-,48.800,-
'9:22:08.528',-,-0.111,-,-,48.000,-
'9:22:08.536',-,-0.111,-,-,48.000,-
'9:22:08.544',-,-0.111,-,-,47.200,-
'9:22:08.552',-,-0.128,-,-,47.200,-
'9:22:08.560',-,-0.111,-,-,47.200,-
'9:22:08.568',-,-0.111,-,-,48.000,-
'9:22:08.576',-,-0.111,-,-,49.600,-
'9:22:08.584',-,-0.111,-,-,52.800,-
'9:22:08.592',-,-0.111,-,-,57.600,-
'9:22:08.600',-,-0.128,-,-,63.200,-
'9:22:08.608',-,-0.111,-,-,69.600,-
'9:22:08.616',-,-0.128,-,-,75.200,-
'9:22:08.624',-,-0.128,-,-,80.800,-
'9:22:08.632',-,-0.128,-,-,86.400,-
'9:22:08.640',-,-0.128,-,-,90.400,-
'9:22:08.648',-,-0.154,-,-,93.600,-
'9:22:08.656',-,-0.128,-,-,96.000,-
'9:22:08.664',-,-0.154,-,-,98.400,-
'9:22:08.672',-,-0.154,-,-,99.200,-
'9:22:08.680',-,-0.154,-,-,100.000,-
'9:22:08.688',-,-0.179,-,-,100.000,-
'9:22:08.696',-,-0.154,-,-,99.200,-
'9:22:08.704',-,-0.128,-,-,98.400,-
'9:22:08.712',-,-0.111,-,-,96.800,-
'9:22:08.720',-,-0.060,-,-,95.200,-
'9:22:08.728',-,-0.043,-,-,92.800,-
'9:22:08.736',-,-0.043,-,-,89.600,-
'9:22:08.744',-,-0.017,-,-,86.400,-
'9:22:08.752',-,0.000,-,-,82.400,-
'9:22:08.760',-,0.017,-,-,77.600,-
'9:22:08.768',-,0.043,-,-,73.600,-
'9:22:08.776',-,0.043,-,-,69.600,-
'9:22:08.784',-,0.043,-,-,64.800,-
'9:22:08.792',-,0.085,-,-,61.600,-
'9:22:08.800',-,0.060,-,-,58.400,-
'9:22:08.808',-,0.111,-,-,56.000,-
'9:22:08.816',-,0.154,-,-,53.600,-
'9:22:08.824',-,0.128,-,-,52.000,-
'9:22:08.832',-,0.111,-,-,51.200,-
'9:22:08.840',-,0.111,-,-,49.600,-
'9:22:08.848',-,0.060,-,-,48.800,-
'9:22:08.856',-,0.000,-,-,48.800,-
'9:22:08.864',-,0.000,-,-,48.000,-
'9:22:08.872',-,0.000,-,-,47.200,-
'9:22:08.880',-,0.000,-,-,47.200,-
'9:22:08.888',-,0.000,-,-,46.400,-
'9:22:08.896',-,0.000,-,-,46.400,-
'9:22:08.904',-,0.000,-,-,46.400,-
'9:22:08.912',-,0.000,-,-,45.600,-
'9:22:08.920',-,-0.017,-,-,45.600,-
'9:22:08.928',-,0.128,-,-,44.800,-
'9:22:08.936',-,0.402,-,-,44.800,-
'9:22:08.944',-,0.538,-,-,44.800,-
'9:22:08.952',-,0.179,-,-,44.000,-
'9:22:08.960',-,0.085,-,-,44.000,-
'9:22:08.968',-,0.043,-,-,44.000,-
'9:22:08.976',-,0.017,-,-,43.200,-
'9:22:08.984',-,0.000,-,-,43.200,-
'9:22:08.992',-,-0.017,-,-,43.200,-
'9:22:09.000',-,-0.043,-,-,42.400,-
'9:22:09.008',-,-0.017,-,-,42.400,-
'9:22:09.016',-,0.000,-,-,41.600,-
'9:22:09.024',-,-0.017,-,-,41.600,-
'9:22:09.032',-,-0.043,-,-,40.800,-
'9:22:09.040',-,0.000,-,-,40.800,-
'9:22:09.048',-,-0.017,-,-,40.800,-
'9:22:09.056',-,0.000,-,-,41.600,-
'9:22:09.064',-,0.000,-,-,43.200,-
'9:22:09.072',-,-0.017,-,-,46.400,-
'9:22:09.080',-,-0.043,-,-,51.200,-
'9:22:09.088',-,0.000,-,-,56.000,-
'9:22:09.096',-,-0.017,-,-,61.600,-
'9:22:09.104',-,-0.043,-,-,67.200,-
'9:22:09.112',-,-0.017,-,-,72.800,-
'9:22:09.120',-,-0.060,-,-,77.600,-
'9:22:09.128',-,-0.043,-,-,81.600,-
'9:22:09.136',-,-0.060,-,-,84.800,-
'9:22:09.144',-,-0.043,-,-,86.400,-
'9:22:09.152',-,-0.060,-,-,88.000,-
'9:22:09.160',-,-0.043,-,-,88.800,-
'9:22:09.168',-,-0.043,-,-,89.600,-
'9:22:09.176',-,0.000,-,-,89.600,-
'9:22:09.184',-,-0.017,-,-,88.800,-
'9:22:09.192',-,0.000,-,-,87.200,-
'9:22:09.200',-,0.000,-,-,85.600,-
'9:22:09.208',-,0.000,-,-,83.200,-
'9:22:09.216',-,0.000,-,-,80.000,-
'9:22:09.224',-,0.043,-,-,76.000,-
'9:22:09.232',-,0.017,-,-,72.000,-
'9:22:09.240',-,0.043,-,-,68.000,-
'9:22:09.248',-,0.043,-,-,64.800,-
'9:22:09.256',-,0.085,-,-,60.800,-
'9:22:09.264',-,0.111,-,-,57.600,-
'9:22:09.272',-,0.128,-,-,54.400,-
'9:22:09.280',-,0.179,-,-,52.800,-
'9:22:09.288',-,0.197,-,-,51.200,-
'9:22:09.296',-,0.179,-,-,49.600,-
'9:22:09.304',-,0.154,-,-,48.800,-
'9:22:09.312',-,0.128,-,-,48.000,-
'9:22:09.320',-,0.085,-,-,47.200,-
'9:22:09.328',-,0.085,-,-,46.400,-
'9:22:09.336',-,0.017,-,-,46.400,-
'9:22:09.344',-,0.000,-,-,45.600,-
'9:22:09.352',-,0.000,-,-,45.600,-
'9:22:09.360',-,0.043,-,-,44.800,-
'9:22:09.368',-,0.000,-,-,44.800,-
'9:22:09.376',-,0.000,-,-,44.800,-
'9:22:09.384',-,0.000,-,-,44.000,-
'9:22:09.392',-,0.000,-,-,44.000,-
'9:22:09.400',-,0.222,-,-,44.000,-
'9:22:09.408',-,0.470,-,-,44.000,-
'9:22:09.416',-,0.590,-,-,44.000,-
'9:22:09.424',-,0.197,-,-,44.000,-
'9:22:09.432',-,0.043,-,-,44.000,-
'9:22:09.440',-,0.000,-,-,44.000,-
'9:22:09.448',-,0.017,-,-,44.000,-
'9:22:09.456',-,0.000,-,-,44.000,-
'9:22:09.464',-,0.000,-,-,43.200,-
'9:22:09.472',-,0.000,-,-,43.200,-
'9:22:09.480',-,-0.017,-,-,43.200,-
'9:22:09.488',-,0.000,-,-,43.200,-
'9:22:09.496',-,-0.017,-,-,42.400,-
'9:22:09.504',-,0.000,-,-,42.400,-
'9:22:09.512',-,-0.017,-,-,42.400,-
'9:22:09.520',-,-0.043,-,-,43.200,-
'9:22:09.528',-,-0.043,-,-,44.800,-
'9:22:09.536',-,-0.043,-,-,48.000,-
'9:22:09.544',-,-0.043,-,-,52.000,-
'9:22:09.552',-,-0.043,-,-,57.600,-
'9:22:09.560',-,-0.017,-,-,64.000,-
'9:22:09.568',-,-0.017,-,-,70.400,-
'9:22:09.576',-,-0.043,-,-,76.000,-
'9:22:09.584',-,-0.043,-,-,80.800,-
'9:22:09.592',-,-0.060,-,-,85.600,-
'9:22:09.600',-,-0.085,-,-,88.800,-
'9:22:09.608',-,-0.060,-,-,92.000,-
'9:22:09.616',-,-0.085,-,-,94.400,-
'9:22:09.624',-,-0.060,-,-,96.000,-
'9:22:09.632',-,-0.085,-,-,96.800,-
