'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'7:46:13.776',-0.019,-0.029,49.600,26.400
'7:46:13.784',-0.038,-0.048,49.600,24.800
'7:46:13.792',-0.010,-0.010,48.800,24.000
'7:46:13.800',-0.019,-0.048,49.600,24.400
'7:46:13.808',0.000,-0.010,52.000,26.000
'7:46:13.816',-0.019,-0.048,56.000,28.000
'7:46:13.824',0.019,-0.010,62.400,30.400
'7:46:13.832',0.000,-0.048,69.600,32.800
'7:46:13.840',0.029,-0.029,77.600,35.200
'7:46:13.848',0.019,-0.029,86.400,37.600
'7:46:13.856',0.058,-0.010,95.200,39.200
'7:46:13.864',0.038,-0.029,104.000,40.000
'7:46:13.872',0.077,0.000,112.000,40.800
'7:46:13.880',0.067,-0.010,119.200,41.200
'7:46:13.888',0.106,0.010,124.800,41.200
'7:46:13.896',0.077,0.000,128.000,40.800
'7:46:13.904',0.096,0.029,128.800,40.000
'7:46:13.912',0.038,0.010,128.800,38.800
'7:46:13.920',0.029,0.029,126.400,37.600
'7:46:13.928',-0.010,0.000,123.200,36.000
'7:46:13.936',-0.019,0.000,119.200,34.000
'7:46:13.944',-0.010,-0.010,114.400,32.400
'7:46:13.952',-0.038,0.000,108.800,30.400
'7:46:13.960',-0.019,-0.010,103.200,28.800
'7:46:13.968',-0.048,0.000,97.600,28.000
'7:46:13.976',-0.029,-0.010,92.800,28.000
'7:46:13.984',-0.048,-0.029,87.200,28.400
'7:46:13.992',-0.029,0.000,82.400,28.800
'7:46:14.000',-0.067,-0.029,77.600,29.200
'7:46:14.008',-0.029,0.000,73.600,30.000
'7:46:14.016',-0.067,-0.029,69.600,30.400
'7:46:14.024',-0.048,0.000,67.200,30.400
'7:46:14.032',-0.067,-0.029,64.800,30.800
'7:46:14.040',-0.048,0.000,62.400,31.200
'7:46:14.048',-0.067,-0.029,61.600,31.600
'7:46:14.056',-0.038,-0.010,60.800,31.600
'7:46:14.064',-0.067,-0.029,60.000,31.200
'7:46:14.072',-0.038,0.000,60.000,30.400
'7:46:14.080',-0.067,-0.029,60.800,29.200
'7:46:14.088',-0.038,-0.010,62.400,27.600
'7:46:14.096',-0.067,-0.029,64.800,26.400
'7:46:14.104',-0.048,-0.010,67.200,25.200
'7:46:14.112',-0.067,-0.029,70.400,24.000
'7:46:14.120',-0.048,-0.010,74.400,23.200
'7:46:14.128',-0.077,-0.029,78.400,22.400
'7:46:14.136',-0.048,-0.010,83.200,22.000
'7:46:14.144',-0.048,-0.029,88.000,21.600
'7:46:14.152',-0.067,-0.010,92.800,21.600
'7:46:14.160',-0.048,-0.029,98.400,22.000
'7:46:14.168',-0.067,-0.010,103.200,22.000
'7:46:14.176',-0.038,-0.029,108.000,22.400
'7:46:14.184',-0.067,-0.029,111.200,22.400
'7:46:14.192',-0.010,0.000,114.400,22.800
'7:46:14.200',-0.019,0.000,116.000,22.800
'7:46:14.208',0.000,0.000,116.800,23.200
'7:46:14.216',-0.019,0.010,116.800,23.200
