'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'120:59:43.896',0.000,-0.009,-,-,-
'120:59:43.904',-0.008,0.009,-,-,-
'120:59:43.912',-0.016,-0.009,-,-,-
'120:59:43.920',-0.016,-0.018,-,-,-
'120:59:43.928',-0.024,0.000,-,-,-
'120:59:43.936',-0.040,-0.018,-,-,-
'120:59:43.944',-0.072,-0.044,-,-,-
'120:59:43.952',-0.104,-0.079,-,-,-
'120:59:43.960',-0.128,-0.105,-,-,-
'120:59:43.968',-0.152,-0.123,-,-,-
'120:59:43.976',-0.160,-0.140,-,-,-
'120:59:43.984',-0.136,-0.149,-,-,-
'120:59:43.992',-0.088,-0.096,-,-,-
'120:59:44.000',-0.032,-0.035,-,-,-
'120:59:44.008',0.024,0.018,-,-,-
'120:59:44.016',0.040,0.044,-,-,-
'120:59:44.024',0.040,0.070,-,-,-
'120:59:44.032',0.040,0.035,-,-,-
'120:59:44.040',0.040,0.053,-,-,-
'120:59:44.048',0.048,0.044,-,-,-
'120:59:44.056',0.040,0.053,-,-,-
'120:59:44.064',0.032,0.018,-,-,-
'120:59:44.072',0.032,0.035,-,-,-
'120:59:44.080',0.032,0.018,-,-,-
'120:59:44.088',0.024,0.026,-,-,-
'120:59:44.096',0.024,0.018,-,-,-
'120:59:44.104',0.000,0.018,-,-,-
'120:59:44.112',-0.032,-0.035,-,-,-
'120:59:44.120',0.048,-0.096,-,-,-
'120:59:44.128',0.384,0.000,-,-,-
'120:59:44.136',0.808,0.456,-,-,-
'120:59:44.144',0.888,0.895,-,-,-
'120:59:44.152',0.440,0.632,-,-,-
'120:59:44.160',-0.008,0.175,-,-,-
'120:59:44.168',-0.208,-0.211,-,-,-
'120:59:44.176',-0.224,-0.246,-,-,-
'120:59:44.184',-0.168,-0.211,-,-,-
'120:59:44.192',-0.152,-0.175,-,-,-
'120:59:44.200',-0.136,-0.158,-,-,-
'120:59:44.208',-0.096,-0.140,-,-,-
'120:59:44.216',-0.040,-0.088,-,-,-
'120:59:44.224',0.008,-0.018,-,-,-
'120:59:44.232',0.040,0.018,-,-,-
'120:59:44.240',0.040,0.035,-,-,-
'120:59:44.248',0.048,0.018,-,-,-
'120:59:44.256',0.064,0.035,-,-,-
'120:59:44.264',0.064,0.035,-,-,-
'120:59:44.272',0.056,0.044,-,-,-
'120:59:44.280',0.056,0.018,-,-,-
'120:59:44.288',0.048,0.026,-,-,-
'120:59:44.296',0.040,0.009,-,-,-
'120:59:44.304',0.040,0.000,-,-,-
'120:59:44.312',0.040,0.018,-,-,-
'120:59:44.320',0.040,0.000,-,-,-
'120:59:44.328',0.032,0.009,-,-,-
'120:59:44.336',0.024,-0.009,-,-,-
'120:59:44.344',0.016,0.000,-,-,-
'120:59:44.352',0.016,-0.018,-,-,-
'120:59:44.360',0.008,-0.009,-,-,-
'120:59:44.368',0.000,-0.026,-,-,-
'120:59:44.376',-0.016,-0.018,-,-,-
'120:59:44.384',-0.048,-0.070,-,-,-
'120:59:44.392',-0.080,-0.096,-,-,-
'120:59:44.400',-0.104,-0.140,-,-,-
'120:59:44.408',-0.112,-0.132,-,-,-
'120:59:44.416',-0.096,-0.149,-,-,-
'120:59:44.424',-0.064,-0.096,-,-,-
'120:59:44.432',-0.024,-0.070,-,-,-
'120:59:44.440',0.024,-0.009,-,-,-
'120:59:44.448',0.056,0.035,-,-,-
'120:59:44.456',0.072,0.079,-,-,-
'120:59:44.464',0.064,0.061,-,-,-
'120:59:44.472',0.064,0.053,-,-,-
'120:59:44.480',0.080,0.070,-,-,-
'120:59:44.488',0.080,0.061,-,-,-
'120:59:44.496',0.080,0.079,-,-,-
'120:59:44.504',0.072,0.070,-,-,-
'120:59:44.512',0.064,0.053,-,-,-
'120:59:44.520',0.064,0.053,-,-,-
'120:59:44.528',0.056,0.053,-,-,-
'120:59:44.536',0.040,0.035,-,-,-
'120:59:44.544',0.040,0.044,-,-,-
'120:59:44.552',0.048,0.018,-,-,-
'120:59:44.560',0.048,0.053,-,-,-
'120:59:44.568',0.016,0.018,-,-,-
'120:59:44.576',-0.040,0.000,-,-,-
'120:59:44.584',-0.088,-0.070,-,-,-
'120:59:44.592',0.024,-0.149,-,-,-
'120:59:44.600',0.400,0.018,-,-,-
'120:59:44.608',0.736,0.553,-,-,-
'120:59:44.616',0.592,0.798,-,-,-
'120:59:44.624',0.136,0.325,-,-,-
'120:59:44.632',-0.168,-0.079,-,-,-
'120:59:44.640',-0.232,-0.254,-,-,-
'120:59:44.648',-0.152,-0.272,-,-,-
'120:59:44.656',-0.056,-0.096,-,-,-
'120:59:44.664',0.000,-0.026,-,-,-
'120:59:44.672',0.008,0.009,-,-,-
'120:59:44.680',0.008,0.000,-,-,-
'120:59:44.688',0.016,0.000,-,-,-
'120:59:44.696',0.032,0.018,-,-,-
'120:59:44.704',0.032,0.026,-,-,-
'120:59:44.712',0.024,0.018,-,-,-
'120:59:44.720',0.024,0.026,-,-,-
'120:59:44.728',0.024,0.018,-,-,-
'120:59:44.736',0.016,0.000,-,-,-
'120:59:44.744',0.008,-0.018,-,-,-
'120:59:44.752',0.008,-0.026,-,-,-
'120:59:44.760',0.000,0.000,-,-,-
'120:59:44.768',-0.008,-0.026,-,-,-
'120:59:44.776',-0.016,-0.018,-,-,-
'120:59:44.784',-0.024,-0.044,-,-,-
'120:59:44.792',-0.032,-0.026,-,-,-
'120:59:44.800',-0.040,-0.053,-,-,-
'120:59:44.808',-0.056,-0.053,-,-,-
'120:59:44.816',-0.088,-0.088,-,-,-
'120:59:44.824',-0.120,-0.105,-,-,-
'120:59:44.832',-0.144,-0.149,-,-,-
'120:59:44.840',-0.168,-0.158,-,-,-
'120:59:44.848',-0.176,-0.193,-,-,-
'120:59:44.856',-0.168,-0.184,-,-,-
'120:59:44.864',-0.128,-0.175,-,-,-
'120:59:44.872',-0.064,-0.088,-,-,-
'120:59:44.880',0.000,-0.026,-,-,-
'120:59:44.888',0.040,0.035,-,-,-
'120:59:44.896',0.056,0.053,-,-,-
'120:59:44.904',0.056,0.070,-,-,-
'120:59:44.912',0.048,0.053,-,-,-
'120:59:44.920',0.048,0.053,-,-,-
'120:59:44.928',0.048,0.061,-,-,-
'120:59:44.936',0.040,0.044,-,-,-
