'Elapsed time','II','III','AVL','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'6:58:57.144',-0.920,-,-,-,-0.320,-,89.600,22.000
'6:58:57.152',-0.940,-,-,-,-0.300,-,89.600,22.000
'6:58:57.160',-0.980,-,-,-,-0.340,-,88.800,22.000
'6:58:57.168',-0.980,-,-,-,-0.340,-,88.000,21.600
'6:58:57.176',-0.980,-,-,-,-0.360,-,87.200,21.600
'6:58:57.184',-0.960,-,-,-,-0.340,-,87.200,21.600
'6:58:57.192',-0.960,-,-,-,-0.340,-,86.400,21.200
'6:58:57.200',-0.940,-,-,-,-0.320,-,85.600,21.200
'6:58:57.208',-0.920,-,-,-,-0.320,-,85.600,21.200
'6:58:57.216',-0.880,-,-,-,-0.320,-,84.800,21.200
'6:58:57.224',-0.820,-,-,-,-0.300,-,84.800,20.800
'6:58:57.232',-0.740,-,-,-,-0.260,-,84.000,20.800
'6:58:57.240',-0.600,-,-,-,-0.260,-,83.200,20.800
'6:58:57.248',-0.360,-,-,-,-0.140,-,83.200,20.800
'6:58:57.256',0.000,-,-,-,0.100,-,82.400,20.400
'6:58:57.264',0.480,-,-,-,0.500,-,82.400,20.400
'6:58:57.272',0.600,-,-,-,0.600,-,81.600,20.400
'6:58:57.280',0.080,-,-,-,0.120,-,80.800,20.000
'6:58:57.288',-0.160,-,-,-,-0.040,-,80.000,20.000
'6:58:57.296',-0.440,-,-,-,-0.160,-,80.000,20.000
'6:58:57.304',-0.600,-,-,-,-0.220,-,79.200,20.000
'6:58:57.312',-0.580,-,-,-,-0.220,-,79.200,20.400
'6:58:57.320',-0.480,-,-,-,-0.180,-,79.200,20.400
'6:58:57.328',-0.440,-,-,-,-0.180,-,79.200,21.200
'6:58:57.336',-0.400,-,-,-,-0.180,-,78.400,21.600
'6:58:57.344',-0.440,-,-,-,-0.180,-,78.400,22.400
'6:58:57.352',-0.520,-,-,-,-0.200,-,77.600,23.200
'6:58:57.360',-0.400,-,-,-,-0.160,-,76.800,23.600
'6:58:57.368',-0.240,-,-,-,-0.100,-,76.800,24.000
'6:58:57.376',-0.180,-,-,-,-0.080,-,76.800,24.400
'6:58:57.384',-0.160,-,-,-,-0.060,-,76.000,24.800
'6:58:57.392',-0.140,-,-,-,-0.080,-,76.800,24.800
'6:58:57.400',-0.100,-,-,-,-0.060,-,76.800,25.200
'6:58:57.408',-0.060,-,-,-,-0.040,-,78.400,26.000
'6:58:57.416',-0.020,-,-,-,-0.020,-,80.800,26.800
'6:58:57.424',0.000,-,-,-,0.000,-,85.600,28.000
'6:58:57.432',0.020,-,-,-,0.000,-,91.200,28.800
'6:58:57.440',0.060,-,-,-,0.000,-,98.400,29.600
'6:58:57.448',0.080,-,-,-,0.020,-,104.800,30.400
'6:58:57.456',0.120,-,-,-,0.040,-,110.400,30.800
'6:58:57.464',0.140,-,-,-,0.060,-,114.400,31.600
'6:58:57.472',0.160,-,-,-,0.080,-,117.600,32.000
'6:58:57.480',0.220,-,-,-,0.100,-,118.400,32.000
'6:58:57.488',0.260,-,-,-,0.120,-,119.200,32.400
'6:58:57.496',0.320,-,-,-,0.160,-,120.800,32.400
'6:58:57.504',0.380,-,-,-,0.180,-,122.400,32.800
'6:58:57.512',0.400,-,-,-,0.200,-,124.800,32.400
'6:58:57.520',0.420,-,-,-,0.220,-,128.000,32.400
'6:58:57.528',0.420,-,-,-,0.240,-,130.400,32.000
'6:58:57.536',0.420,-,-,-,0.220,-,132.800,31.600
'6:58:57.544',0.400,-,-,-,0.200,-,133.600,31.600
'6:58:57.552',0.360,-,-,-,0.160,-,134.400,31.200
'6:58:57.560',0.300,-,-,-,0.120,-,134.400,30.800
'6:58:57.568',0.240,-,-,-,0.080,-,134.400,30.800
'6:58:57.576',0.200,-,-,-,0.060,-,133.600,30.000
'6:58:57.584',0.140,-,-,-,0.040,-,132.800,29.600
'6:58:57.592',0.080,-,-,-,0.020,-,131.200,29.200
'6:58:57.600',0.020,-,-,-,0.000,-,130.400,28.400
'6:58:57.608',0.000,-,-,-,0.000,-,128.800,28.000
'6:58:57.616',-0.020,-,-,-,0.000,-,126.400,27.200
'6:58:57.624',0.000,-,-,-,-0.020,-,124.000,26.400
'6:58:57.632',-0.020,-,-,-,0.000,-,120.000,26.000
'6:58:57.640',0.000,-,-,-,-0.020,-,116.000,25.600
'6:58:57.648',0.000,-,-,-,0.000,-,112.000,25.200
'6:58:57.656',0.000,-,-,-,0.000,-,108.000,24.800
'6:58:57.664',0.020,-,-,-,0.000,-,104.800,24.400
'6:58:57.672',0.040,-,-,-,0.000,-,102.400,24.400
'6:58:57.680',0.040,-,-,-,0.000,-,100.800,24.000
'6:58:57.688',0.060,-,-,-,0.000,-,100.800,23.600
'6:58:57.696',0.080,-,-,-,0.000,-,101.600,23.600
'6:58:57.704',0.060,-,-,-,0.000,-,102.400,23.600
'6:58:57.712',0.080,-,-,-,0.000,-,102.400,23.200
'6:58:57.720',0.080,-,-,-,0.020,-,102.400,23.200
'6:58:57.728',0.120,-,-,-,0.000,-,102.400,23.200
'6:58:57.736',0.160,-,-,-,0.040,-,101.600,22.800
'6:58:57.744',0.180,-,-,-,0.060,-,100.000,22.800
'6:58:57.752',0.200,-,-,-,0.060,-,99.200,22.800
'6:58:57.760',0.180,-,-,-,0.060,-,97.600,22.800
