'Elapsed time','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'46:50:27.688',0.112,-,-,-,0.528,112.000,34.320
'46:50:27.696',0.112,-,-,-,0.488,110.400,34.080
'46:50:27.704',0.112,-,-,-,0.424,108.800,33.720
'46:50:27.712',0.112,-,-,-,0.384,107.200,33.360
'46:50:27.720',0.112,-,-,-,0.304,105.600,32.880
'46:50:27.728',0.072,-,-,-,0.200,104.800,32.280
'46:50:27.736',0.056,-,-,-,0.120,103.200,31.680
'46:50:27.744',0.032,-,-,-,0.040,101.600,30.720
'46:50:27.752',0.000,-,-,-,-0.016,100.000,29.760
'46:50:27.760',0.000,-,-,-,-0.056,98.400,28.080
'46:50:27.768',-0.016,-,-,-,-0.096,96.000,26.880
'46:50:27.776',-0.032,-,-,-,-0.136,93.600,25.920
'46:50:27.784',-0.032,-,-,-,-0.136,91.200,25.560
'46:50:27.792',-0.032,-,-,-,-0.160,88.000,25.320
'46:50:27.800',-0.032,-,-,-,-0.160,84.800,25.080
'46:50:27.808',-0.032,-,-,-,-0.160,81.600,24.960
'46:50:27.816',-0.032,-,-,-,-0.176,80.000,25.320
'46:50:27.824',-0.032,-,-,-,-0.160,78.400,26.160
'46:50:27.832',-0.032,-,-,-,-0.160,78.400,26.880
'46:50:27.840',-0.032,-,-,-,-0.176,78.400,27.480
'46:50:27.848',-0.032,-,-,-,-0.160,78.400,27.480
'46:50:27.856',-0.032,-,-,-,-0.176,78.400,26.880
'46:50:27.864',-0.032,-,-,-,-0.176,79.200,26.280
'46:50:27.872',-0.032,-,-,-,-0.176,79.200,25.560
'46:50:27.880',-0.032,-,-,-,-0.176,80.000,24.480
'46:50:27.888',-0.032,-,-,-,-0.176,80.800,23.760
'46:50:27.896',-0.032,-,-,-,-0.176,80.800,23.160
'46:50:27.904',-0.056,-,-,-,-0.176,80.800,22.680
'46:50:27.912',-0.032,-,-,-,-0.176,80.800,22.560
'46:50:27.920',-0.056,-,-,-,-0.176,80.800,22.320
'46:50:27.928',-0.032,-,-,-,-0.176,80.800,22.080
'46:50:27.936',-0.032,-,-,-,-0.176,80.800,22.080
'46:50:27.944',-0.032,-,-,-,-0.176,80.000,22.080
'46:50:27.952',-0.056,-,-,-,-0.176,80.000,22.080
'46:50:27.960',-0.032,-,-,-,-0.176,79.200,22.080
'46:50:27.968',-0.032,-,-,-,-0.176,79.200,22.080
'46:50:27.976',-0.056,-,-,-,-0.176,78.400,22.080
'46:50:27.984',-0.032,-,-,-,-0.176,77.600,21.720
'46:50:27.992',-0.032,-,-,-,-0.176,76.800,21.480
'46:50:28.000',-0.032,-,-,-,-0.176,76.800,21.120
'46:50:28.008',-0.032,-,-,-,-0.160,76.000,20.760
'46:50:28.016',-0.032,-,-,-,-0.160,75.200,20.280
'46:50:28.024',-0.032,-,-,-,-0.160,74.400,19.920
'46:50:28.032',-0.032,-,-,-,-0.160,74.400,19.680
'46:50:28.040',-0.032,-,-,-,-0.136,73.600,19.320
'46:50:28.048',-0.032,-,-,-,-0.136,72.800,19.080
'46:50:28.056',-0.032,-,-,-,-0.136,72.800,18.960
'46:50:28.064',-0.032,-,-,-,-0.136,72.000,18.720
'46:50:28.072',-0.032,-,-,-,-0.136,72.000,18.480
'46:50:28.080',-0.032,-,-,-,-0.136,71.200,18.360
'46:50:28.088',-0.032,-,-,-,-0.136,70.400,18.120
'46:50:28.096',-0.032,-,-,-,-0.136,70.400,18.120
'46:50:28.104',-0.032,-,-,-,-0.136,69.600,18.120
'46:50:28.112',-0.032,-,-,-,-0.136,69.600,18.120
'46:50:28.120',-0.032,-,-,-,-0.136,68.800,17.880
'46:50:28.128',-0.032,-,-,-,-0.136,68.800,17.880
'46:50:28.136',-0.032,-,-,-,-0.120,68.000,17.760
'46:50:28.144',-0.032,-,-,-,-0.136,68.000,17.760
'46:50:28.152',-0.032,-,-,-,-0.120,68.000,17.520
'46:50:28.160',-0.032,-,-,-,-0.096,67.200,17.520
'46:50:28.168',-0.032,-,-,-,-0.120,67.200,17.520
'46:50:28.176',-0.032,-,-,-,-0.096,67.200,17.280
'46:50:28.184',-0.032,-,-,-,-0.096,66.400,17.280
'46:50:28.192',-0.032,-,-,-,-0.096,66.400,17.160
'46:50:28.200',-0.032,-,-,-,-0.096,66.400,16.920
'46:50:28.208',-0.016,-,-,-,-0.096,65.600,16.680
'46:50:28.216',-0.032,-,-,-,-0.096,65.600,16.560
'46:50:28.224',-0.016,-,-,-,-0.096,65.600,16.320
'46:50:28.232',-0.032,-,-,-,-0.096,64.800,16.320
'46:50:28.240',-0.016,-,-,-,-0.096,64.800,16.080
'46:50:28.248',-0.016,-,-,-,-0.096,64.800,16.080
'46:50:28.256',-0.016,-,-,-,-0.096,64.000,15.960
'46:50:28.264',-0.032,-,-,-,-0.080,64.000,15.960
'46:50:28.272',0.000,-,-,-,-0.040,63.200,15.960
'46:50:28.280',0.000,-,-,-,-0.040,63.200,15.720
'46:50:28.288',0.000,-,-,-,-0.040,63.200,15.720
'46:50:28.296',0.000,-,-,-,-0.040,62.400,15.960
'46:50:28.304',0.016,-,-,-,-0.040,62.400,15.960
'46:50:28.312',0.000,-,-,-,-0.056,62.400,15.960
'46:50:28.320',0.000,-,-,-,-0.096,61.600,15.480
'46:50:28.328',0.000,-,-,-,-0.096,61.600,15.120
'46:50:28.336',-0.016,-,-,-,-0.080,61.600,14.520
'46:50:28.344',-0.032,-,-,-,-0.096,60.800,13.680
'46:50:28.352',-0.032,-,-,-,-0.096,60.800,13.080
'46:50:28.360',-0.032,-,-,-,-0.096,60.800,12.480
'46:50:28.368',-0.032,-,-,-,-0.080,60.000,12.000
'46:50:28.376',-0.032,-,-,-,-0.096,60.000,11.880
'46:50:28.384',-0.032,-,-,-,-0.080,59.200,11.880
'46:50:28.392',-0.032,-,-,-,-0.080,59.200,11.880
'46:50:28.400',-0.032,-,-,-,-0.080,59.200,11.880
'46:50:28.408',-0.032,-,-,-,-0.080,58.400,11.880
'46:50:28.416',-0.016,-,-,-,-0.080,58.400,11.880
'46:50:28.424',-0.032,-,-,-,-0.056,58.400,11.880
'46:50:28.432',-0.016,-,-,-,-0.056,58.400,11.880
'46:50:28.440',-0.032,-,-,-,0.000,57.600,11.640
'46:50:28.448',-0.056,-,-,-,0.200,57.600,11.640
'46:50:28.456',0.016,-,-,-,0.712,56.800,11.880
'46:50:28.464',0.312,-,-,-,0.936,56.800,11.880
'46:50:28.472',0.464,-,-,-,-0.016,56.800,12.000
'46:50:28.480',0.112,-,-,-,-0.672,56.800,12.360
'46:50:28.488',0.072,-,-,-,-0.528,56.000,12.480
'46:50:28.496',0.112,-,-,-,-0.136,56.000,12.720
'46:50:28.504',0.056,-,-,-,0.040,56.000,12.960
'46:50:28.512',0.056,-,-,-,0.080,55.200,12.960
'46:50:28.520',0.032,-,-,-,0.080,55.200,12.960
'46:50:28.528',0.032,-,-,-,0.096,55.200,12.960
'46:50:28.536',0.016,-,-,-,0.080,54.400,12.480
