'Elapsed time','II','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'166:17:01.688',-,0.000,-,-0.446,-,-
'166:17:01.696',-,0.000,-,-0.543,-,-
'166:17:01.704',-,0.000,-,-0.446,-,-
'166:17:01.712',-,0.000,-,-0.543,-,-
'166:17:01.720',-,0.000,-,-0.446,-,-
'166:17:01.728',-,0.000,-,-0.543,-,-
'166:17:01.736',-,0.000,-,-0.446,-,-
'166:17:01.744',-,0.000,-,-0.446,-,-
'166:17:01.752',-,0.069,-,-0.446,-,-
'166:17:01.760',-,0.000,-,-0.446,-,-
'166:17:01.768',-,0.069,-,-0.446,-,-
'166:17:01.776',-,0.069,-,-0.446,-,-
'166:17:01.784',-,0.069,-,-0.446,-,-
'166:17:01.792',-,0.069,-,-0.446,-,-
'166:17:01.800',-,0.069,-,-0.446,-,-
'166:17:01.808',-,0.138,-,-0.446,-,-
'166:17:01.816',-,0.069,-,-0.359,-,-
'166:17:01.824',-,0.138,-,-0.359,-,-
'166:17:01.832',-,0.069,-,-0.359,-,-
'166:17:01.840',-,0.138,-,-0.359,-,-
'166:17:01.848',-,0.138,-,-0.359,-,-
'166:17:01.856',-,0.138,-,-0.359,-,-
'166:17:01.864',-,0.138,-,-0.359,-,-
'166:17:01.872',-,0.138,-,-0.359,-,-
'166:17:01.880',-,0.138,-,-0.359,-,-
'166:17:01.888',-,0.138,-,-0.359,-,-
'166:17:01.896',-,0.138,-,-0.359,-,-
'166:17:01.904',-,0.069,-,-0.359,-,-
'166:17:01.912',-,0.069,-,-0.359,-,-
'166:17:01.920',-,0.000,-,-0.359,-,-
'166:17:01.928',-,0.000,-,-0.359,-,-
'166:17:01.936',-,0.000,-,-0.359,-,-
'166:17:01.944',-,0.000,-,-0.359,-,-
'166:17:01.952',-,0.000,-,-0.359,-,-
'166:17:01.960',-,0.000,-,-0.272,-,-
'166:17:01.968',-,0.000,-,-0.359,-,-
'166:17:01.976',-,0.000,-,-0.359,-,-
'166:17:01.984',-,0.000,-,-0.359,-,-
'166:17:01.992',-,0.000,-,-0.359,-,-
'166:17:02.000',-,0.000,-,-0.359,-,-
'166:17:02.008',-,0.000,-,-0.359,-,-
'166:17:02.016',-,0.000,-,-0.359,-,-
'166:17:02.024',-,0.000,-,-0.359,-,-
'166:17:02.032',-,0.000,-,-0.359,-,-
'166:17:02.040',-,0.069,-,-0.446,-,-
'166:17:02.048',-,0.069,-,-0.446,-,-
'166:17:02.056',-,0.069,-,-0.446,-,-
'166:17:02.064',-,0.069,-,-0.446,-,-
'166:17:02.072',-,0.069,-,-0.446,-,-
'166:17:02.080',-,0.000,-,-0.359,-,-
'166:17:02.088',-,0.000,-,-0.446,-,-
'166:17:02.096',-,0.000,-,-0.359,-,-
'166:17:02.104',-,0.000,-,-0.446,-,-
'166:17:02.112',-,0.000,-,-0.446,-,-
'166:17:02.120',-,0.000,-,-0.446,-,-
'166:17:02.128',-,0.000,-,-0.359,-,-
'166:17:02.136',-,0.000,-,-0.446,-,-
'166:17:02.144',-,0.000,-,-0.359,-,-
'166:17:02.152',-,0.000,-,-0.446,-,-
'166:17:02.160',-,0.000,-,-0.359,-,-
'166:17:02.168',-,0.000,-,-0.446,-,-
'166:17:02.176',-,0.000,-,-0.446,-,-
'166:17:02.184',-,0.069,-,-0.359,-,-
'166:17:02.192',-,0.138,-,-0.446,-,-
'166:17:02.200',-,0.207,-,-0.717,-,-
'166:17:02.208',-,0.000,-,-0.815,-,-
'166:17:02.216',-,0.000,-,-0.815,-,-
'166:17:02.224',-,-0.138,-,-0.815,-,-
'166:17:02.232',-,-0.138,-,-0.717,-,-
