'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'85:02:13.320',-,0.000,-,-,80.800
'85:02:13.328',-,0.064,-,-,80.000
'85:02:13.336',-,0.256,-,-,79.200
'85:02:13.344',-,0.704,-,-,79.200
'85:02:13.352',-,0.768,-,-,78.400
'85:02:13.360',-,0.256,-,-,77.600
'85:02:13.368',-,0.064,-,-,77.600
'85:02:13.376',-,0.000,-,-,76.800
'85:02:13.384',-,-0.032,-,-,76.800
'85:02:13.392',-,0.000,-,-,76.000
'85:02:13.400',-,-0.032,-,-,76.000
'85:02:13.408',-,-0.032,-,-,76.000
'85:02:13.416',-,-0.032,-,-,76.000
'85:02:13.424',-,0.000,-,-,76.000
'85:02:13.432',-,0.000,-,-,75.200
'85:02:13.440',-,0.000,-,-,75.200
'85:02:13.448',-,0.000,-,-,74.400
'85:02:13.456',-,0.000,-,-,73.600
'85:02:13.464',-,0.000,-,-,72.800
'85:02:13.472',-,0.000,-,-,72.800
'85:02:13.480',-,0.000,-,-,72.000
'85:02:13.488',-,0.032,-,-,72.800
'85:02:13.496',-,0.032,-,-,75.200
'85:02:13.504',-,0.064,-,-,82.400
'85:02:13.512',-,0.064,-,-,94.400
'85:02:13.520',-,0.096,-,-,110.400
'85:02:13.528',-,0.128,-,-,126.400
'85:02:13.536',-,0.160,-,-,138.400
'85:02:13.544',-,0.192,-,-,145.600
'85:02:13.552',-,0.192,-,-,148.000
'85:02:13.560',-,0.192,-,-,148.800
'85:02:13.568',-,0.192,-,-,148.000
'85:02:13.576',-,0.128,-,-,147.200
'85:02:13.584',-,0.128,-,-,147.200
'85:02:13.592',-,0.064,-,-,148.000
'85:02:13.600',-,0.032,-,-,148.800
'85:02:13.608',-,0.000,-,-,148.800
'85:02:13.616',-,0.000,-,-,148.800
'85:02:13.624',-,0.000,-,-,148.000
'85:02:13.632',-,-0.032,-,-,146.400
'85:02:13.640',-,-0.032,-,-,145.600
'85:02:13.648',-,-0.032,-,-,144.000
'85:02:13.656',-,-0.032,-,-,142.400
'85:02:13.664',-,-0.064,-,-,140.000
'85:02:13.672',-,-0.064,-,-,137.600
'85:02:13.680',-,-0.064,-,-,135.200
'85:02:13.688',-,-0.064,-,-,132.000
'85:02:13.696',-,-0.064,-,-,128.800
'85:02:13.704',-,-0.064,-,-,124.800
'85:02:13.712',-,-0.064,-,-,120.800
'85:02:13.720',-,-0.064,-,-,116.000
'85:02:13.728',-,-0.064,-,-,111.200
'85:02:13.736',-,-0.032,-,-,107.200
'85:02:13.744',-,-0.032,-,-,102.400
'85:02:13.752',-,-0.032,-,-,98.400
'85:02:13.760',-,-0.032,-,-,95.200
'85:02:13.768',-,-0.032,-,-,92.800
'85:02:13.776',-,-0.032,-,-,91.200
'85:02:13.784',-,-0.032,-,-,90.400
'85:02:13.792',-,-0.032,-,-,89.600
'85:02:13.800',-,-0.032,-,-,88.800
'85:02:13.808',-,-0.032,-,-,88.000
'85:02:13.816',-,0.000,-,-,87.200
'85:02:13.824',-,-0.032,-,-,86.400
'85:02:13.832',-,0.000,-,-,86.400
'85:02:13.840',-,0.000,-,-,85.600
'85:02:13.848',-,0.032,-,-,84.800
'85:02:13.856',-,0.032,-,-,84.800
'85:02:13.864',-,0.000,-,-,84.000
'85:02:13.872',-,0.000,-,-,84.000
'85:02:13.880',-,0.000,-,-,83.200
