Time,Time Code,Country Name,Country Code,CostIncomeRatio,Zscore,CreditDepositsRatio,LiquidAssetsDepositsSTFRatio
1960,YR1960,Aruba,ABW,,,,
1960,YR1960,Andorra,ADO,,,,
1960,YR1960,Afghanistan,AFG,,,615.4696,
1960,YR1960,Angola,AGO,,,,
1960,YR1960,Albania,ALB,,,,
1960,YR1960,United Arab Emirates,ARE,,,,
1960,YR1960,Argentina,ARG,,,82.08092,
1960,YR1960,Armenia,ARM,,,,
1960,YR1960,Antigua and Barbuda,ATG,,,,
1960,YR1960,Australia,AUS,,,47.42523,
1960,YR1960,Austria,AUT,,,107.5094,
1960,YR1960,Azerbaijan,AZE,,,,
1960,YR1960,Burundi,BDI,,,,
1960,YR1960,Belgium,BEL,,,50.10061,
1960,YR1960,Benin,BEN,,,172.6708,
1960,YR1960,Burkina Faso,BFA,,,71.875,
1960,YR1960,Bangladesh,BGD,,,,
1960,YR1960,Bulgaria,BGR,,,,
1960,YR1960,Bahrain,BHR,,,,
1960,YR1960,"Bahamas, The",BHS,,,,
1960,YR1960,Bosnia and Herzegovina,BIH,,,,
1960,YR1960,Belarus,BLR,,,,
1960,YR1960,Belize,BLZ,,,,
1960,YR1960,Bermuda,BMU,,,,
1960,YR1960,Bolivia,BOL,,,101.897,
1960,YR1960,Brazil,BRA,,,80.68896,
1960,YR1960,Barbados,BRB,,,,
1960,YR1960,Brunei Darussalam,BRN,,,,
1960,YR1960,Bhutan,BTN,,,,
1960,YR1960,Botswana,BWA,,,,
1960,YR1960,Central African Republic,CAF,,,279.0909,
1960,YR1960,Canada,CAN,,,55.86818,
1960,YR1960,Switzerland,CHE,,,119.0458,
1960,YR1960,Chile,CHL,,,,
1960,YR1960,China,CHN,,,,
1960,YR1960,Cote d'Ivoire,CIV,,,198.5086,
1960,YR1960,Cameroon,CMR,,,241.8874,
1960,YR1960,"Congo, Rep.",COG,,,162.4435,
1960,YR1960,Colombia,COL,,,142.9612,
1960,YR1960,Comoros,COM,,,,
1960,YR1960,Cape Verde,CPV,,,,
1960,YR1960,Costa Rica,CRI,,,211.4512,
1960,YR1960,Cuba,CUB,,,,
1960,YR1960,Curacao,CUW,,,,
1960,YR1960,Cayman Islands,CYM,,,,
1960,YR1960,Cyprus,CYP,,,116.6066,
1960,YR1960,Czech Republic,CZE,,,,
1960,YR1960,Germany,DEU,,,123.5529,
1960,YR1960,Djibouti,DJI,,,,
1960,YR1960,Dominica,DMA,,,,
1960,YR1960,Denmark,DNK,,,106.1839,
1960,YR1960,Dominican Republic,DOM,,,48.69888,
1960,YR1960,Algeria,DZA,,,,
1960,YR1960,Ecuador,ECU,,,234.1646,
1960,YR1960,"Egypt, Arab Rep.",EGY,,,101.39,
1960,YR1960,Eritrea,ERI,,,,
1960,YR1960,Spain,ESP,,,,
1960,YR1960,Estonia,EST,,,,
