'Elapsed time','II','V','ABP'
'hh:mm:ss.mmm','mV','mV','mmHg'
'79:48:52.040',0.988,0.765,-
'79:48:52.048',0.988,0.765,-
'79:48:52.056',0.988,0.765,-
'79:48:52.064',-0.988,-0.765,-
'79:48:52.072',-0.988,-0.765,-
'79:48:52.080',-0.988,-0.765,-
'79:48:52.088',-0.988,-0.765,-
'79:48:52.096',0.988,0.765,-
'79:48:52.104',0.988,0.765,-
'79:48:52.112',0.988,0.765,-
'79:48:52.120',0.988,0.765,-
'79:48:52.128',-0.988,-0.765,-
'79:48:52.136',-0.988,-0.765,-
'79:48:52.144',-0.988,-0.765,-
'79:48:52.152',-0.988,-0.765,-
'79:48:52.160',0.988,0.765,-
'79:48:52.168',0.988,0.765,-
'79:48:52.176',0.988,0.765,-
'79:48:52.184',0.988,0.765,-
'79:48:52.192',-0.988,-0.765,-
'79:48:52.200',-0.988,-0.765,-
'79:48:52.208',-0.988,-0.765,-
'79:48:52.216',-0.988,-0.765,-
'79:48:52.224',0.988,0.765,-
'79:48:52.232',0.988,0.765,-
'79:48:52.240',0.988,0.765,-
'79:48:52.248',0.988,0.765,-
'79:48:52.256',-0.988,-0.765,-
'79:48:52.264',-0.988,-0.765,-
'79:48:52.272',-0.988,-0.765,-
'79:48:52.280',-0.988,-0.765,-
'79:48:52.288',0.988,0.765,-
'79:48:52.296',0.988,0.765,-
'79:48:52.304',0.988,0.765,-
'79:48:52.312',0.988,0.765,-
'79:48:52.320',-0.988,-0.765,-
'79:48:52.328',-0.988,-0.765,-
'79:48:52.336',-0.988,-0.765,-
'79:48:52.344',-0.988,-0.765,-
'79:48:52.352',0.988,0.765,-
'79:48:52.360',0.988,0.765,-
'79:48:52.368',0.988,0.765,-
'79:48:52.376',0.988,0.765,-
'79:48:52.384',-0.988,-0.765,-
'79:48:52.392',-0.988,-0.765,-
'79:48:52.400',-0.988,-0.765,-
'79:48:52.408',-0.988,-0.765,-
'79:48:52.416',0.988,0.765,-
'79:48:52.424',0.988,0.765,-
'79:48:52.432',0.988,0.765,-
'79:48:52.440',0.988,0.765,-
'79:48:52.448',-0.988,-0.765,-
'79:48:52.456',-0.988,-0.765,-
'79:48:52.464',-0.988,-0.765,-
'79:48:52.472',-0.988,-0.765,-
'79:48:52.480',0.988,0.765,-
'79:48:52.488',0.988,0.765,-
'79:48:52.496',0.988,0.765,-
'79:48:52.504',0.988,0.765,-
'79:48:52.512',-0.988,-0.765,-
'79:48:52.520',-0.988,-0.765,-
'79:48:52.528',-0.988,-0.765,-
'79:48:52.536',-0.988,-0.765,-
'79:48:52.544',0.988,0.765,-
'79:48:52.552',0.988,0.765,-
'79:48:52.560',0.988,0.765,-
'79:48:52.568',0.988,0.765,-
'79:48:52.576',-0.988,-0.765,-
'79:48:52.584',-0.988,-0.765,-
'79:48:52.592',-0.988,-0.765,-
'79:48:52.600',-0.988,-0.765,-
'79:48:52.608',0.988,0.765,-
'79:48:52.616',0.988,0.765,-
'79:48:52.624',0.988,0.765,-
'79:48:52.632',0.988,0.765,-
'79:48:52.640',-0.988,-0.765,-
'79:48:52.648',-0.988,-0.765,-
'79:48:52.656',-0.988,-0.765,-
'79:48:52.664',-0.988,-0.765,-
'79:48:52.672',0.988,0.765,-
'79:48:52.680',0.988,0.765,-
'79:48:52.688',0.988,0.765,-
'79:48:52.696',0.988,0.765,-
'79:48:52.704',-0.988,-0.765,-
'79:48:52.712',-0.988,-0.765,-
'79:48:52.720',-0.988,-0.765,-
'79:48:52.728',-0.988,-0.765,-
'79:48:52.736',0.988,0.765,-
'79:48:52.744',0.988,0.765,-
'79:48:52.752',0.988,0.765,-
'79:48:52.760',0.988,0.765,-
'79:48:52.768',-0.988,-0.765,-
'79:48:52.776',-0.988,-0.765,-
'79:48:52.784',-0.988,-0.765,-
'79:48:52.792',-0.988,-0.765,-
'79:48:52.800',0.988,0.765,-
'79:48:52.808',0.988,0.765,-
'79:48:52.816',0.988,0.765,-
'79:48:52.824',0.988,0.765,-
'79:48:52.832',-0.988,-0.765,-
'79:48:52.840',-0.988,-0.765,-
'79:48:52.848',-0.988,-0.765,-
'79:48:52.856',-0.988,-0.765,-
'79:48:52.864',0.988,0.765,-
'79:48:52.872',0.988,0.765,-
'79:48:52.880',0.988,0.765,-
'79:48:52.888',0.988,0.765,-
'79:48:52.896',-0.988,-0.765,-
'79:48:52.904',-0.988,-0.765,-
'79:48:52.912',-0.988,-0.765,-
'79:48:52.920',-0.988,-0.765,-
'79:48:52.928',0.988,0.765,-
'79:48:52.936',0.988,0.765,-
'79:48:52.944',0.988,0.765,-
'79:48:52.952',0.988,0.765,-
'79:48:52.960',-0.988,-0.765,-
'79:48:52.968',-0.988,-0.765,-
'79:48:52.976',-0.988,-0.765,-
'79:48:52.984',-0.988,-0.765,-
'79:48:52.992',0.988,0.765,-
'79:48:53.000',0.988,0.765,-
'79:48:53.008',0.988,0.765,-
'79:48:53.016',0.988,0.765,-
'79:48:53.024',-0.988,-0.765,-
'79:48:53.032',-0.988,-0.765,-
'79:48:53.040',-0.988,-0.765,-
'79:48:53.048',-0.988,-0.765,-
'79:48:53.056',0.988,0.765,-
'79:48:53.064',0.988,0.765,-
'79:48:53.072',0.988,0.765,-
'79:48:53.080',0.988,0.765,-
'79:48:53.088',-0.988,-0.765,-
'79:48:53.096',-0.988,-0.765,-
'79:48:53.104',-0.988,-0.765,-
'79:48:53.112',-0.988,-0.765,-
'79:48:53.120',0.988,0.765,-
'79:48:53.128',0.988,0.765,-
'79:48:53.136',0.988,0.765,-
'79:48:53.144',0.988,0.765,-
'79:48:53.152',-0.988,-0.765,-
'79:48:53.160',-0.988,-0.765,-
'79:48:53.168',-0.988,-0.765,-
'79:48:53.176',-0.988,-0.765,-
'79:48:53.184',0.988,0.765,-
'79:48:53.192',0.988,0.765,-
'79:48:53.200',0.988,0.765,-
'79:48:53.208',0.988,0.765,-
'79:48:53.216',-0.988,-0.765,-
'79:48:53.224',-0.988,-0.765,-
'79:48:53.232',-0.988,-0.765,-
'79:48:53.240',-0.988,-0.765,-
'79:48:53.248',0.988,0.765,-
'79:48:53.256',0.988,0.765,-
'79:48:53.264',0.988,0.765,-
'79:48:53.272',0.988,0.765,-
'79:48:53.280',-0.988,-0.765,-
'79:48:53.288',-0.988,-0.765,-
'79:48:53.296',-0.988,-0.765,-
'79:48:53.304',-0.988,-0.765,-
'79:48:53.312',0.988,0.765,-
'79:48:53.320',0.988,0.765,-
'79:48:53.328',0.988,0.765,-
'79:48:53.336',0.988,0.765,-
'79:48:53.344',-0.988,-0.765,-
'79:48:53.352',-0.988,-0.765,-
'79:48:53.360',-0.988,-0.765,-
'79:48:53.368',-0.988,-0.765,-
'79:48:53.376',0.988,0.765,-
'79:48:53.384',0.988,0.765,-
'79:48:53.392',0.988,0.765,-
'79:48:53.400',0.988,0.765,-
'79:48:53.408',-0.988,-0.765,-
'79:48:53.416',-0.988,-0.765,-
'79:48:53.424',-0.988,-0.765,-
'79:48:53.432',-0.988,-0.765,-
'79:48:53.440',0.988,0.765,-
'79:48:53.448',0.988,0.765,-
'79:48:53.456',0.988,0.765,-
'79:48:53.464',0.988,0.765,-
'79:48:53.472',-0.988,-0.765,-
'79:48:53.480',-0.988,-0.765,-
'79:48:53.488',-0.988,-0.765,-
'79:48:53.496',-0.988,-0.765,-
'79:48:53.504',0.988,0.765,-
'79:48:53.512',0.988,0.765,-
'79:48:53.520',0.988,0.765,-
'79:48:53.528',0.988,0.765,-
'79:48:53.536',-0.988,-0.765,-
'79:48:53.544',-0.988,-0.765,-
'79:48:53.552',-0.988,-0.765,-
'79:48:53.560',-0.988,-0.765,-
'79:48:53.568',0.988,0.765,-
'79:48:53.576',0.988,0.765,-
'79:48:53.584',0.988,0.765,-
'79:48:53.592',0.988,0.765,-
'79:48:53.600',-0.988,-0.765,-
'79:48:53.608',-0.988,-0.765,-
'79:48:53.616',-0.988,-0.765,-
'79:48:53.624',-0.988,-0.765,-
'79:48:53.632',0.988,0.765,-
'79:48:53.640',0.988,0.765,-
'79:48:53.648',0.988,0.765,-
'79:48:53.656',0.988,0.765,-
'79:48:53.664',-0.988,-0.765,-
'79:48:53.672',-0.988,-0.765,-
'79:48:53.680',-0.988,-0.765,-
'79:48:53.688',-0.988,-0.765,-
'79:48:53.696',0.988,0.765,-
'79:48:53.704',0.988,0.765,-
'79:48:53.712',0.988,0.765,-
'79:48:53.720',0.988,0.765,-
'79:48:53.728',-0.988,-0.765,-
'79:48:53.736',-0.988,-0.765,-
'79:48:53.744',-0.988,-0.765,-
'79:48:53.752',-0.988,-0.765,-
'79:48:53.760',0.988,0.765,-
'79:48:53.768',0.988,0.765,-
'79:48:53.776',0.988,0.765,-
'79:48:53.784',0.988,0.765,-
'79:48:53.792',-0.988,-0.765,-
'79:48:53.800',-0.988,-0.765,-
'79:48:53.808',-0.988,-0.765,-
'79:48:53.816',-0.988,-0.765,-
'79:48:53.824',0.988,0.765,-
'79:48:53.832',0.988,0.765,-
'79:48:53.840',0.988,0.765,-
'79:48:53.848',0.988,0.765,-
'79:48:53.856',-0.988,-0.765,-
'79:48:53.864',-0.988,-0.765,-
'79:48:53.872',-0.988,-0.765,-
'79:48:53.880',-0.988,-0.765,-
'79:48:53.888',0.988,0.765,-
'79:48:53.896',0.988,0.765,-
'79:48:53.904',0.988,0.765,-
'79:48:53.912',0.988,0.765,-
'79:48:53.920',-0.988,-0.765,-
'79:48:53.928',-0.988,-0.765,-
'79:48:53.936',-0.988,-0.765,-
'79:48:53.944',-0.988,-0.765,-
'79:48:53.952',0.988,0.765,-
'79:48:53.960',0.988,0.765,-
'79:48:53.968',0.988,0.765,-
'79:48:53.976',0.988,0.765,-
'79:48:53.984',-0.988,-0.765,-
'79:48:53.992',-0.988,-0.765,-
'79:48:54.000',-0.988,-0.765,-
'79:48:54.008',-0.988,-0.765,-
'79:48:54.016',0.988,0.765,-
'79:48:54.024',0.988,0.765,-
'79:48:54.032',0.988,0.765,-
'79:48:54.040',0.988,0.765,-
'79:48:54.048',-0.988,-0.765,-
'79:48:54.056',-0.988,-0.765,-
'79:48:54.064',-0.988,-0.765,-
'79:48:54.072',-0.988,-0.765,-
'79:48:54.080',0.988,0.765,-
'79:48:54.088',0.988,0.765,-
'79:48:54.096',0.988,0.765,-
'79:48:54.104',0.988,0.765,-
'79:48:54.112',-0.988,-0.765,-
'79:48:54.120',-0.988,-0.765,-
