'Elapsed time','II','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'83:47:00.032',-0.048,-,-,-,-,-
'83:47:00.040',-0.032,-,-,-,-,-
'83:47:00.048',-0.024,-,-,-,-,-
'83:47:00.056',-0.040,-,-,-,-,-
'83:47:00.064',-0.024,-,-,-,-,-
'83:47:00.072',-0.048,-,-,-,-,-
'83:47:00.080',-0.024,-,-,-,-,-
'83:47:00.088',-0.056,-,-,-,-,-
'83:47:00.096',-0.032,-,-,-,-,-
'83:47:00.104',-0.024,-,-,-,-,-
'83:47:00.112',0.000,-,-,-,-,-
'83:47:00.120',-0.008,-,-,-,-,-
'83:47:00.128',0.024,-,-,-,-,-
'83:47:00.136',0.016,-,-,-,-,-
'83:47:00.144',0.048,-,-,-,-,-
'83:47:00.152',0.032,-,-,-,-,-
'83:47:00.160',0.048,-,-,-,-,-
'83:47:00.168',0.024,-,-,-,-,-
'83:47:00.176',0.032,-,-,-,-,-
'83:47:00.184',0.008,-,-,-,-,-
'83:47:00.192',0.024,-,-,-,-,-
'83:47:00.200',-0.008,-,-,-,-,-
'83:47:00.208',0.000,-,-,-,-,-
'83:47:00.216',-0.008,-,-,-,-,-
'83:47:00.224',0.008,-,-,-,-,-
'83:47:00.232',0.000,-,-,-,-,-
'83:47:00.240',-0.008,-,-,-,-,-
'83:47:00.248',0.000,-,-,-,-,-
'83:47:00.256',0.000,-,-,-,-,-
'83:47:00.264',0.016,-,-,-,-,-
'83:47:00.272',0.000,-,-,-,-,-
'83:47:00.280',0.000,-,-,-,-,-
'83:47:00.288',-0.008,-,-,-,-,-
'83:47:00.296',0.008,-,-,-,-,-
'83:47:00.304',-0.008,-,-,-,-,-
'83:47:00.312',0.008,-,-,-,-,-
'83:47:00.320',0.000,-,-,-,-,-
'83:47:00.328',0.008,-,-,-,-,-
'83:47:00.336',-0.008,-,-,-,-,-
'83:47:00.344',0.000,-,-,-,-,-
'83:47:00.352',-0.008,-,-,-,-,-
