'Elapsed time','II','AVR','AVF','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg'
'11:51:19.936',-0.038,-,-,-,0.000,56.400
'11:51:19.944',-0.038,-,-,-,0.000,55.200
'11:51:19.952',-0.038,-,-,-,0.000,55.200
'11:51:19.960',-0.038,-,-,-,0.000,54.000
'11:51:19.968',0.000,-,-,-,0.000,54.000
'11:51:19.976',0.000,-,-,-,0.000,52.800
'11:51:19.984',0.000,-,-,-,0.000,52.800
'11:51:19.992',0.000,-,-,-,0.000,51.600
'11:51:20.000',0.000,-,-,-,0.000,51.600
'11:51:20.008',0.000,-,-,-,0.000,50.400
'11:51:20.016',0.000,-,-,-,0.000,50.400
'11:51:20.024',0.000,-,-,-,0.000,49.200
'11:51:20.032',0.000,-,-,-,0.000,49.200
'11:51:20.040',0.000,-,-,-,0.000,49.200
'11:51:20.048',0.000,-,-,-,0.000,48.000
'11:51:20.056',0.000,-,-,-,0.000,48.000
'11:51:20.064',0.000,-,-,-,0.000,48.000
'11:51:20.072',0.000,-,-,-,0.013,48.000
'11:51:20.080',0.000,-,-,-,0.013,46.800
'11:51:20.088',0.000,-,-,-,0.026,46.800
'11:51:20.096',0.000,-,-,-,0.013,46.800
'11:51:20.104',0.038,-,-,-,0.013,46.800
'11:51:20.112',0.038,-,-,-,0.000,46.800
'11:51:20.120',0.038,-,-,-,0.000,45.600
'11:51:20.128',0.038,-,-,-,0.000,45.600
'11:51:20.136',0.038,-,-,-,0.000,45.600
'11:51:20.144',0.000,-,-,-,0.000,45.600
'11:51:20.152',0.000,-,-,-,0.000,45.600
'11:51:20.160',0.000,-,-,-,0.000,45.600
'11:51:20.168',0.000,-,-,-,0.000,45.600
'11:51:20.176',-0.038,-,-,-,0.000,45.600
'11:51:20.184',0.000,-,-,-,0.000,44.400
'11:51:20.192',0.000,-,-,-,0.000,44.400
'11:51:20.200',-0.038,-,-,-,0.026,44.400
'11:51:20.208',-0.038,-,-,-,0.090,44.400
'11:51:20.216',0.000,-,-,-,0.141,44.400
'11:51:20.224',0.295,-,-,-,-0.026,44.400
'11:51:20.232',0.910,-,-,-,-0.513,44.400
'11:51:20.240',1.423,-,-,-,-1.013,44.400
'11:51:20.248',1.564,-,-,-,-1.205,44.400
'11:51:20.256',1.167,-,-,-,-1.026,44.400
'11:51:20.264',0.641,-,-,-,-0.667,44.400
'11:51:20.272',0.256,-,-,-,-0.333,44.400
'11:51:20.280',0.038,-,-,-,-0.077,44.400
'11:51:20.288',-0.038,-,-,-,0.038,44.400
'11:51:20.296',-0.077,-,-,-,0.090,44.400
'11:51:20.304',-0.128,-,-,-,0.115,44.400
'11:51:20.312',-0.128,-,-,-,0.128,44.400
'11:51:20.320',-0.128,-,-,-,0.128,44.400
'11:51:20.328',-0.167,-,-,-,0.128,43.200
'11:51:20.336',-0.167,-,-,-,0.128,43.200
'11:51:20.344',-0.167,-,-,-,0.141,43.200
'11:51:20.352',-0.167,-,-,-,0.141,42.000
'11:51:20.360',-0.128,-,-,-,0.141,42.000
'11:51:20.368',-0.128,-,-,-,0.141,42.000
'11:51:20.376',-0.128,-,-,-,0.167,42.000
'11:51:20.384',-0.128,-,-,-,0.167,43.200
'11:51:20.392',-0.128,-,-,-,0.179,44.400
'11:51:20.400',-0.128,-,-,-,0.179,49.200
'11:51:20.408',-0.077,-,-,-,0.192,56.400
'11:51:20.416',-0.077,-,-,-,0.192,63.600
'11:51:20.424',-0.077,-,-,-,0.205,73.200
'11:51:20.432',-0.038,-,-,-,0.205,82.800
'11:51:20.440',-0.038,-,-,-,0.192,91.200
'11:51:20.448',-0.038,-,-,-,0.192,99.600
'11:51:20.456',0.000,-,-,-,0.179,106.800
'11:51:20.464',0.000,-,-,-,0.167,111.600
'11:51:20.472',0.000,-,-,-,0.167,116.400
'11:51:20.480',0.000,-,-,-,0.141,118.800
'11:51:20.488',0.000,-,-,-,0.128,120.000
'11:51:20.496',0.000,-,-,-,0.090,120.000
'11:51:20.504',-0.038,-,-,-,0.077,120.000
'11:51:20.512',-0.038,-,-,-,0.064,118.800
'11:51:20.520',-0.038,-,-,-,0.038,116.400
'11:51:20.528',-0.038,-,-,-,0.026,114.000
'11:51:20.536',-0.077,-,-,-,0.013,111.600
'11:51:20.544',-0.077,-,-,-,0.013,109.200
'11:51:20.552',-0.077,-,-,-,0.000,106.800
'11:51:20.560',-0.077,-,-,-,0.000,104.400
'11:51:20.568',-0.038,-,-,-,0.000,102.000
'11:51:20.576',-0.038,-,-,-,0.000,98.400
'11:51:20.584',-0.038,-,-,-,0.000,96.000
'11:51:20.592',-0.038,-,-,-,0.000,93.600
'11:51:20.600',-0.038,-,-,-,0.000,91.200
'11:51:20.608',-0.038,-,-,-,-0.013,88.800
'11:51:20.616',-0.038,-,-,-,-0.013,85.200
'11:51:20.624',-0.038,-,-,-,-0.013,82.800
'11:51:20.632',0.000,-,-,-,-0.013,80.400
'11:51:20.640',0.000,-,-,-,-0.013,76.800
'11:51:20.648',0.000,-,-,-,-0.013,74.400
'11:51:20.656',0.000,-,-,-,-0.013,70.800
'11:51:20.664',0.000,-,-,-,0.000,68.400
'11:51:20.672',0.000,-,-,-,0.000,66.000
'11:51:20.680',0.000,-,-,-,0.000,63.600
'11:51:20.688',0.000,-,-,-,0.000,62.400
'11:51:20.696',0.000,-,-,-,0.000,61.200
'11:51:20.704',0.000,-,-,-,0.013,60.000
'11:51:20.712',0.000,-,-,-,0.013,58.800
'11:51:20.720',-0.038,-,-,-,0.013,58.800
'11:51:20.728',0.000,-,-,-,0.013,58.800
'11:51:20.736',0.000,-,-,-,0.013,58.800
'11:51:20.744',0.000,-,-,-,0.013,60.000
'11:51:20.752',-0.038,-,-,-,0.013,60.000
'11:51:20.760',-0.038,-,-,-,0.013,60.000
'11:51:20.768',-0.038,-,-,-,0.013,61.200
'11:51:20.776',-0.038,-,-,-,0.013,61.200
'11:51:20.784',-0.038,-,-,-,0.013,61.200
'11:51:20.792',0.000,-,-,-,0.013,61.200
'11:51:20.800',-0.038,-,-,-,0.013,61.200
'11:51:20.808',-0.038,-,-,-,0.013,61.200
'11:51:20.816',-0.038,-,-,-,0.000,60.000
'11:51:20.824',0.000,-,-,-,0.000,60.000
'11:51:20.832',0.000,-,-,-,0.000,58.800
'11:51:20.840',0.000,-,-,-,0.000,58.800
'11:51:20.848',0.000,-,-,-,0.013,57.600
'11:51:20.856',0.000,-,-,-,0.013,57.600
'11:51:20.864',0.000,-,-,-,0.026,56.400
'11:51:20.872',0.000,-,-,-,0.013,56.400
'11:51:20.880',0.000,-,-,-,0.013,55.200
'11:51:20.888',0.000,-,-,-,0.013,54.000
'11:51:20.896',0.000,-,-,-,0.000,54.000
'11:51:20.904',0.000,-,-,-,0.000,52.800
'11:51:20.912',0.000,-,-,-,0.000,52.800
'11:51:20.920',0.000,-,-,-,-0.013,51.600
'11:51:20.928',0.000,-,-,-,0.000,51.600
'11:51:20.936',0.000,-,-,-,0.000,50.400
'11:51:20.944',0.000,-,-,-,0.000,50.400
'11:51:20.952',-0.038,-,-,-,0.000,50.400
'11:51:20.960',-0.038,-,-,-,0.000,49.200
'11:51:20.968',-0.038,-,-,-,0.000,49.200
'11:51:20.976',0.000,-,-,-,0.013,49.200
'11:51:20.984',-0.038,-,-,-,0.077,48.000
'11:51:20.992',-0.038,-,-,-,0.141,48.000
'11:51:21.000',0.205,-,-,-,0.000,48.000
'11:51:21.008',0.782,-,-,-,-0.449,48.000
'11:51:21.016',1.385,-,-,-,-0.974,48.000
'11:51:21.024',1.603,-,-,-,-1.244,48.000
'11:51:21.032',1.256,-,-,-,-1.256,46.800
'11:51:21.040',0.731,-,-,-,-0.744,46.800
'11:51:21.048',0.295,-,-,-,-0.372,46.800
'11:51:21.056',0.077,-,-,-,-0.115,46.800
'11:51:21.064',-0.038,-,-,-,0.026,46.800
'11:51:21.072',-0.077,-,-,-,0.077,46.800
'11:51:21.080',-0.128,-,-,-,0.115,46.800
'11:51:21.088',-0.128,-,-,-,0.128,46.800
'11:51:21.096',-0.167,-,-,-,0.141,46.800
'11:51:21.104',-0.167,-,-,-,0.141,46.800
'11:51:21.112',-0.167,-,-,-,0.141,46.800
'11:51:21.120',-0.167,-,-,-,0.141,45.600
'11:51:21.128',-0.167,-,-,-,0.141,45.600
