'Elapsed time','I','II','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'8:57:34.520',-,-0.043,-,-,74.400,-
'8:57:34.528',-,-0.043,-,-,81.600,-
'8:57:34.536',-,-0.043,-,-,88.000,-
'8:57:34.544',-,-0.060,-,-,93.600,-
'8:57:34.552',-,-0.111,-,-,97.600,-
'8:57:34.560',-,-0.111,-,-,100.800,-
'8:57:34.568',-,-0.111,-,-,103.200,-
'8:57:34.576',-,-0.060,-,-,104.800,-
'8:57:34.584',-,-0.111,-,-,105.600,-
'8:57:34.592',-,-0.111,-,-,106.400,-
'8:57:34.600',-,-0.128,-,-,106.400,-
'8:57:34.608',-,-0.111,-,-,106.400,-
'8:57:34.616',-,-0.111,-,-,105.600,-
'8:57:34.624',-,-0.085,-,-,104.800,-
'8:57:34.632',-,-0.085,-,-,103.200,-
'8:57:34.640',-,-0.043,-,-,101.600,-
'8:57:34.648',-,-0.043,-,-,99.200,-
'8:57:34.656',-,-0.043,-,-,97.600,-
'8:57:34.664',-,-0.043,-,-,94.400,-
'8:57:34.672',-,0.000,-,-,91.200,-
'8:57:34.680',-,0.000,-,-,88.000,-
'8:57:34.688',-,0.000,-,-,84.000,-
'8:57:34.696',-,0.000,-,-,80.000,-
'8:57:34.704',-,0.017,-,-,76.000,-
'8:57:34.712',-,0.043,-,-,72.000,-
'8:57:34.720',-,0.000,-,-,68.000,-
'8:57:34.728',-,0.060,-,-,64.800,-
'8:57:34.736',-,0.085,-,-,61.600,-
'8:57:34.744',-,0.085,-,-,59.200,-
'8:57:34.752',-,0.060,-,-,57.600,-
'8:57:34.760',-,0.043,-,-,56.000,-
'8:57:34.768',-,0.000,-,-,55.200,-
'8:57:34.776',-,0.000,-,-,54.400,-
'8:57:34.784',-,-0.043,-,-,53.600,-
'8:57:34.792',-,-0.085,-,-,52.800,-
'8:57:34.800',-,-0.085,-,-,52.800,-
'8:57:34.808',-,-0.085,-,-,52.000,-
'8:57:34.816',-,-0.085,-,-,52.000,-
'8:57:34.824',-,-0.043,-,-,51.200,-
'8:57:34.832',-,-0.060,-,-,51.200,-
'8:57:34.840',-,0.000,-,-,50.400,-
'8:57:34.848',-,0.248,-,-,50.400,-
'8:57:34.856',-,0.453,-,-,49.600,-
'8:57:34.864',-,0.248,-,-,49.600,-
'8:57:34.872',-,0.000,-,-,49.600,-
'8:57:34.880',-,0.017,-,-,48.800,-
'8:57:34.888',-,0.000,-,-,48.800,-
'8:57:34.896',-,-0.043,-,-,48.000,-
'8:57:34.904',-,-0.085,-,-,48.000,-
'8:57:34.912',-,-0.111,-,-,47.200,-
'8:57:34.920',-,-0.111,-,-,47.200,-
'8:57:34.928',-,-0.128,-,-,47.200,-
'8:57:34.936',-,-0.111,-,-,46.400,-
'8:57:34.944',-,-0.111,-,-,46.400,-
'8:57:34.952',-,-0.111,-,-,46.400,-
'8:57:34.960',-,-0.111,-,-,48.000,-
'8:57:34.968',-,-0.111,-,-,51.200,-
'8:57:34.976',-,-0.111,-,-,56.000,-
'8:57:34.984',-,-0.128,-,-,62.400,-
'8:57:34.992',-,-0.111,-,-,69.600,-
'8:57:35.000',-,-0.128,-,-,77.600,-
'8:57:35.008',-,-0.111,-,-,84.000,-
'8:57:35.016',-,-0.111,-,-,89.600,-
'8:57:35.024',-,-0.128,-,-,94.400,-
'8:57:35.032',-,-0.128,-,-,97.600,-
'8:57:35.040',-,-0.154,-,-,100.800,-
'8:57:35.048',-,-0.154,-,-,102.400,-
'8:57:35.056',-,-0.154,-,-,104.000,-
'8:57:35.064',-,-0.154,-,-,104.800,-
'8:57:35.072',-,-0.154,-,-,104.800,-
'8:57:35.080',-,-0.128,-,-,104.800,-
'8:57:35.088',-,-0.111,-,-,104.000,-
'8:57:35.096',-,-0.111,-,-,103.200,-
'8:57:35.104',-,-0.085,-,-,101.600,-
'8:57:35.112',-,-0.060,-,-,100.000,-
'8:57:35.120',-,-0.043,-,-,97.600,-
'8:57:35.128',-,-0.043,-,-,95.200,-
'8:57:35.136',-,-0.043,-,-,92.800,-
'8:57:35.144',-,0.000,-,-,89.600,-
'8:57:35.152',-,-0.017,-,-,85.600,-
'8:57:35.160',-,-0.017,-,-,81.600,-
'8:57:35.168',-,0.000,-,-,77.600,-
'8:57:35.176',-,0.000,-,-,73.600,-
'8:57:35.184',-,0.000,-,-,69.600,-
'8:57:35.192',-,0.043,-,-,65.600,-
'8:57:35.200',-,0.017,-,-,62.400,-
'8:57:35.208',-,0.060,-,-,60.000,-
'8:57:35.216',-,0.085,-,-,57.600,-
'8:57:35.224',-,0.085,-,-,55.200,-
'8:57:35.232',-,0.043,-,-,54.400,-
'8:57:35.240',-,0.000,-,-,52.800,-
'8:57:35.248',-,0.000,-,-,52.000,-
'8:57:35.256',-,-0.043,-,-,51.200,-
'8:57:35.264',-,-0.060,-,-,51.200,-
'8:57:35.272',-,-0.043,-,-,50.400,-
'8:57:35.280',-,-0.043,-,-,50.400,-
'8:57:35.288',-,-0.043,-,-,49.600,-
'8:57:35.296',-,-0.060,-,-,49.600,-
'8:57:35.304',-,-0.085,-,-,49.600,-
'8:57:35.312',-,-0.111,-,-,48.800,-
'8:57:35.320',-,0.017,-,-,48.800,-
'8:57:35.328',-,0.265,-,-,48.800,-
'8:57:35.336',-,0.427,-,-,48.800,-
'8:57:35.344',-,0.179,-,-,48.000,-
'8:57:35.352',-,0.000,-,-,48.000,-
'8:57:35.360',-,0.043,-,-,48.000,-
'8:57:35.368',-,0.000,-,-,47.200,-
'8:57:35.376',-,-0.060,-,-,47.200,-
'8:57:35.384',-,-0.111,-,-,47.200,-
'8:57:35.392',-,-0.111,-,-,46.400,-
'8:57:35.400',-,-0.111,-,-,46.400,-
'8:57:35.408',-,-0.111,-,-,46.400,-
'8:57:35.416',-,-0.085,-,-,45.600,-
'8:57:35.424',-,-0.111,-,-,45.600,-
'8:57:35.432',-,-0.060,-,-,45.600,-
'8:57:35.440',-,-0.043,-,-,47.200,-
'8:57:35.448',-,-0.060,-,-,49.600,-
'8:57:35.456',-,-0.085,-,-,54.400,-
'8:57:35.464',-,-0.043,-,-,60.000,-
'8:57:35.472',-,-0.017,-,-,67.200,-
'8:57:35.480',-,-0.043,-,-,73.600,-
'8:57:35.488',-,-0.043,-,-,80.800,-
'8:57:35.496',-,-0.060,-,-,86.400,-
'8:57:35.504',-,-0.043,-,-,90.400,-
'8:57:35.512',-,-0.060,-,-,94.400,-
'8:57:35.520',-,-0.060,-,-,97.600,-
'8:57:35.528',-,-0.060,-,-,100.000,-
'8:57:35.536',-,-0.060,-,-,100.800,-
'8:57:35.544',-,-0.043,-,-,101.600,-
'8:57:35.552',-,-0.060,-,-,101.600,-
'8:57:35.560',-,-0.043,-,-,101.600,-
'8:57:35.568',-,-0.043,-,-,100.800,-
'8:57:35.576',-,-0.043,-,-,99.200,-
'8:57:35.584',-,-0.043,-,-,98.400,-
'8:57:35.592',-,0.000,-,-,96.000,-
'8:57:35.600',-,0.000,-,-,94.400,-
'8:57:35.608',-,0.000,-,-,92.000,-
'8:57:35.616',-,0.000,-,-,88.800,-
'8:57:35.624',-,0.017,-,-,85.600,-
'8:57:35.632',-,0.000,-,-,81.600,-
'8:57:35.640',-,0.017,-,-,76.800,-
'8:57:35.648',-,0.000,-,-,72.800,-
'8:57:35.656',-,0.085,-,-,68.800,-
'8:57:35.664',-,0.085,-,-,64.800,-
'8:57:35.672',-,0.085,-,-,61.600,-
'8:57:35.680',-,0.128,-,-,58.400,-
'8:57:35.688',-,0.128,-,-,56.000,-
'8:57:35.696',-,0.111,-,-,53.600,-
'8:57:35.704',-,0.085,-,-,52.000,-
'8:57:35.712',-,0.111,-,-,51.200,-
'8:57:35.720',-,0.060,-,-,50.400,-
'8:57:35.728',-,0.000,-,-,49.600,-
'8:57:35.736',-,-0.017,-,-,49.600,-
'8:57:35.744',-,-0.043,-,-,48.800,-
'8:57:35.752',-,0.000,-,-,48.800,-
'8:57:35.760',-,0.000,-,-,48.000,-
'8:57:35.768',-,0.000,-,-,48.000,-
'8:57:35.776',-,0.000,-,-,48.000,-
'8:57:35.784',-,-0.017,-,-,47.200,-
'8:57:35.792',-,0.000,-,-,47.200,-
'8:57:35.800',-,0.248,-,-,47.200,-
'8:57:35.808',-,0.521,-,-,47.200,-
'8:57:35.816',-,0.564,-,-,47.200,-
'8:57:35.824',-,0.128,-,-,46.400,-
'8:57:35.832',-,0.000,-,-,46.400,-
'8:57:35.840',-,0.000,-,-,46.400,-
'8:57:35.848',-,0.000,-,-,46.400,-
'8:57:35.856',-,-0.017,-,-,46.400,-
'8:57:35.864',-,-0.043,-,-,46.400,-
'8:57:35.872',-,0.000,-,-,45.600,-
'8:57:35.880',-,0.000,-,-,45.600,-
'8:57:35.888',-,-0.043,-,-,44.800,-
'8:57:35.896',-,0.000,-,-,44.800,-
'8:57:35.904',-,0.000,-,-,44.000,-
'8:57:35.912',-,-0.043,-,-,44.000,-
'8:57:35.920',-,-0.043,-,-,45.600,-
'8:57:35.928',-,0.000,-,-,48.000,-
'8:57:35.936',-,-0.043,-,-,52.000,-
'8:57:35.944',-,0.000,-,-,57.600,-
'8:57:35.952',-,0.000,-,-,64.800,-
'8:57:35.960',-,-0.017,-,-,72.000,-
'8:57:35.968',-,0.000,-,-,78.400,-
'8:57:35.976',-,-0.043,-,-,84.000,-
'8:57:35.984',-,0.000,-,-,88.800,-
'8:57:35.992',-,-0.043,-,-,92.000,-
'8:57:36.000',-,-0.060,-,-,95.200,-
'8:57:36.008',-,-0.043,-,-,96.800,-
'8:57:36.016',-,-0.085,-,-,97.600,-
'8:57:36.024',-,-0.043,-,-,98.400,-
'8:57:36.032',-,-0.060,-,-,98.400,-
'8:57:36.040',-,-0.043,-,-,98.400,-
'8:57:36.048',-,-0.017,-,-,97.600,-
'8:57:36.056',-,-0.043,-,-,96.000,-
'8:57:36.064',-,-0.043,-,-,94.400,-
'8:57:36.072',-,0.000,-,-,92.000,-
'8:57:36.080',-,0.000,-,-,89.600,-
'8:57:36.088',-,0.000,-,-,86.400,-
'8:57:36.096',-,0.000,-,-,83.200,-
'8:57:36.104',-,0.000,-,-,79.200,-
'8:57:36.112',-,0.000,-,-,74.400,-
'8:57:36.120',-,0.017,-,-,70.400,-
'8:57:36.128',-,0.043,-,-,66.400,-
'8:57:36.136',-,0.060,-,-,63.200,-
'8:57:36.144',-,0.085,-,-,60.000,-
'8:57:36.152',-,0.128,-,-,57.600,-
'8:57:36.160',-,0.179,-,-,55.200,-
'8:57:36.168',-,0.154,-,-,53.600,-
'8:57:36.176',-,0.179,-,-,52.000,-
'8:57:36.184',-,0.111,-,-,51.200,-
'8:57:36.192',-,0.043,-,-,51.200,-
'8:57:36.200',-,0.017,-,-,50.400,-
'8:57:36.208',-,0.043,-,-,50.400,-
'8:57:36.216',-,0.000,-,-,50.400,-
'8:57:36.224',-,0.000,-,-,49.600,-
'8:57:36.232',-,-0.017,-,-,49.600,-
'8:57:36.240',-,-0.017,-,-,49.600,-
'8:57:36.248',-,0.000,-,-,49.600,-
'8:57:36.256',-,0.000,-,-,49.600,-
'8:57:36.264',-,-0.043,-,-,49.600,-
'8:57:36.272',-,0.085,-,-,49.600,-
'8:57:36.280',-,0.316,-,-,49.600,-
'8:57:36.288',-,0.521,-,-,49.600,-
'8:57:36.296',-,0.333,-,-,49.600,-
'8:57:36.304',-,0.043,-,-,49.600,-
'8:57:36.312',-,0.000,-,-,49.600,-
'8:57:36.320',-,0.000,-,-,49.600,-
'8:57:36.328',-,0.000,-,-,49.600,-
'8:57:36.336',-,-0.043,-,-,49.600,-
'8:57:36.344',-,-0.060,-,-,48.800,-
'8:57:36.352',-,-0.043,-,-,48.800,-
'8:57:36.360',-,-0.043,-,-,48.000,-
'8:57:36.368',-,-0.043,-,-,48.000,-
'8:57:36.376',-,-0.017,-,-,48.000,-
'8:57:36.384',-,-0.017,-,-,48.800,-
'8:57:36.392',-,-0.043,-,-,50.400,-
'8:57:36.400',-,-0.043,-,-,53.600,-
'8:57:36.408',-,-0.060,-,-,59.200,-
'8:57:36.416',-,-0.043,-,-,65.600,-
'8:57:36.424',-,-0.043,-,-,72.800,-
'8:57:36.432',-,-0.043,-,-,80.000,-
'8:57:36.440',-,-0.043,-,-,86.400,-
'8:57:36.448',-,-0.043,-,-,92.000,-
'8:57:36.456',-,-0.043,-,-,96.800,-
'8:57:36.464',-,-0.060,-,-,100.000,-
'8:57:36.472',-,-0.085,-,-,103.200,-
'8:57:36.480',-,-0.111,-,-,104.800,-
'8:57:36.488',-,-0.085,-,-,106.400,-
'8:57:36.496',-,-0.060,-,-,106.400,-
'8:57:36.504',-,-0.043,-,-,107.200,-
'8:57:36.512',-,-0.111,-,-,106.400,-
'8:57:36.520',-,-0.060,-,-,106.400,-
'8:57:36.528',-,-0.085,-,-,104.800,-
'8:57:36.536',-,-0.043,-,-,104.000,-
'8:57:36.544',-,-0.043,-,-,102.400,-
