'Elapsed time','I','II','V','MCL1','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg'
'85:40:42.336',-,0.000,-,0.016,59.160
'85:40:42.344',-,0.000,-,0.016,60.720
'85:40:42.352',-,0.000,-,0.016,63.120
'85:40:42.360',-,0.000,-,0.024,66.360
'85:40:42.368',-,0.008,-,0.016,71.160
'85:40:42.376',-,0.000,-,0.024,76.680
'85:40:42.384',-,0.008,-,0.024,82.320
'85:40:42.392',-,0.024,-,0.032,87.960
'85:40:42.400',-,0.024,-,0.040,93.480
'85:40:42.408',-,0.024,-,0.048,98.280
'85:40:42.416',-,0.040,-,0.048,103.080
'85:40:42.424',-,0.056,-,0.048,106.320
'85:40:42.432',-,0.056,-,0.064,108.720
'85:40:42.440',-,0.072,-,0.072,109.560
'85:40:42.448',-,0.072,-,0.080,109.560
'85:40:42.456',-,0.072,-,0.072,107.880
'85:40:42.464',-,0.088,-,0.072,105.480
'85:40:42.472',-,0.072,-,0.064,103.080
'85:40:42.480',-,0.088,-,0.064,99.960
'85:40:42.488',-,0.072,-,0.048,95.880
'85:40:42.496',-,0.088,-,0.056,92.760
'85:40:42.504',-,0.072,-,0.048,90.360
'85:40:42.512',-,0.056,-,0.032,87.120
'85:40:42.520',-,0.040,-,0.024,83.880
'85:40:42.528',-,0.040,-,0.024,80.760
'85:40:42.536',-,0.024,-,0.016,78.360
'85:40:42.544',-,0.008,-,0.008,75.960
'85:40:42.552',-,0.000,-,0.000,74.280
'85:40:42.560',-,0.000,-,0.000,72.720
'85:40:42.568',-,0.000,-,-0.008,71.160
'85:40:42.576',-,-0.008,-,-0.008,70.320
'85:40:42.584',-,-0.024,-,-0.016,68.760
'85:40:42.592',-,-0.024,-,-0.016,68.760
'85:40:42.600',-,-0.008,-,-0.008,67.920
'85:40:42.608',-,-0.024,-,-0.016,67.920
'85:40:42.616',-,-0.024,-,-0.008,67.920
'85:40:42.624',-,-0.024,-,-0.016,68.760
'85:40:42.632',-,0.000,-,0.000,69.480
'85:40:42.640',-,0.024,-,0.016,70.320
'85:40:42.648',-,0.040,-,0.040,70.320
'85:40:42.656',-,0.040,-,0.064,71.160
'85:40:42.664',-,0.024,-,0.112,71.880
'85:40:42.672',-,0.000,-,0.144,72.720
'85:40:42.680',-,-0.024,-,0.232,72.720
'85:40:42.688',-,-0.136,-,0.336,73.560
'85:40:42.696',-,-0.248,-,0.504,73.560
'85:40:42.704',-,-0.336,-,0.712,74.280
'85:40:42.712',-,-0.496,-,0.912,74.280
'85:40:42.720',-,-0.416,-,0.920,74.280
'85:40:42.728',-,-0.312,-,0.744,74.280
'85:40:42.736',-,-0.184,-,0.592,74.280
'85:40:42.744',-,-0.136,-,0.528,74.280
'85:40:42.752',-,-0.120,-,0.464,73.560
'85:40:42.760',-,-0.184,-,0.320,73.560
'85:40:42.768',-,-0.200,-,0.120,73.560
'85:40:42.776',-,-0.168,-,-0.096,73.560
'85:40:42.784',-,-0.104,-,-0.240,72.720
'85:40:42.792',-,-0.056,-,-0.304,72.720
'85:40:42.800',-,-0.024,-,-0.320,72.720
'85:40:42.808',-,0.000,-,-0.312,71.880
'85:40:42.816',-,0.024,-,-0.304,71.880
