'Elapsed time','II','AVF','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mmHg','mmHg'
'8:22:07.776',-0.048,-0.067,52.000,24.400
'8:22:07.784',0.000,-0.029,51.200,23.200
'8:22:07.792',-0.019,-0.067,51.200,22.800
'8:22:07.800',0.010,-0.029,51.200,23.600
'8:22:07.808',0.000,-0.067,52.800,25.600
'8:22:07.816',0.029,-0.029,55.200,27.600
'8:22:07.824',0.000,-0.067,59.200,30.000
'8:22:07.832',0.038,-0.029,64.000,32.000
'8:22:07.840',0.029,-0.048,69.600,34.000
'8:22:07.848',0.077,-0.010,76.000,35.200
'8:22:07.856',0.067,-0.029,83.200,36.000
'8:22:07.864',0.106,0.010,90.400,36.400
'8:22:07.872',0.087,0.000,96.800,36.400
'8:22:07.880',0.106,0.048,103.200,36.000
'8:22:07.888',0.038,0.010,108.800,34.800
'8:22:07.896',0.029,0.029,112.000,34.000
'8:22:07.904',-0.010,0.000,114.400,32.800
'8:22:07.912',-0.019,0.000,115.200,31.200
'8:22:07.920',-0.010,-0.010,114.400,29.600
'8:22:07.928',-0.048,0.000,112.000,28.400
'8:22:07.936',-0.019,-0.010,108.000,27.200
'8:22:07.944',-0.048,-0.029,104.000,26.000
'8:22:07.952',-0.019,0.000,99.200,26.000
'8:22:07.960',-0.048,-0.029,94.400,26.000
'8:22:07.968',-0.029,0.000,88.800,26.800
'8:22:07.976',-0.067,-0.029,84.000,27.600
'8:22:07.984',-0.048,-0.010,79.200,28.400
'8:22:07.992',-0.077,-0.029,75.200,30.000
'8:22:08.000',-0.048,-0.010,71.200,31.200
'8:22:08.008',-0.067,-0.029,67.200,32.400
'8:22:08.016',-0.048,-0.010,64.800,33.200
'8:22:08.024',-0.087,-0.048,62.400,33.600
'8:22:08.032',-0.048,-0.010,60.000,33.600
'8:22:08.040',-0.087,-0.048,58.400,32.800
'8:22:08.048',-0.048,-0.010,57.600,31.600
'8:22:08.056',-0.077,-0.048,56.800,29.600
'8:22:08.064',-0.048,-0.010,56.800,27.600
'8:22:08.072',-0.077,-0.029,57.600,26.000
'8:22:08.080',-0.048,-0.010,58.400,24.400
'8:22:08.088',-0.077,-0.048,60.800,23.600
'8:22:08.096',-0.048,-0.010,63.200,22.800
'8:22:08.104',-0.077,-0.048,67.200,22.400
'8:22:08.112',-0.048,-0.010,71.200,22.400
'8:22:08.120',-0.077,-0.048,76.000,22.800
'8:22:08.128',-0.087,-0.010,80.800,23.200
'8:22:08.136',-0.048,-0.029,86.400,23.600
'8:22:08.144',-0.077,-0.048,92.000,24.000
'8:22:08.152',-0.048,-0.010,96.800,24.400
'8:22:08.160',-0.067,-0.029,101.600,24.400
'8:22:08.168',-0.048,-0.010,106.400,24.800
'8:22:08.176',-0.067,-0.048,109.600,24.800
'8:22:08.184',-0.019,0.000,111.200,24.400
'8:22:08.192',-0.029,-0.010,112.800,24.400
'8:22:08.200',-0.019,0.000,112.800,24.400
'8:22:08.208',-0.019,0.000,111.200,24.000
'8:22:08.216',0.038,0.029,109.600,24.000
'8:22:08.224',0.019,0.000,107.200,24.000
'8:22:08.232',0.058,0.029,104.000,24.400
'8:22:08.240',0.000,0.000,100.000,24.400
'8:22:08.248',0.019,0.010,96.800,24.400
'8:22:08.256',-0.048,-0.010,92.800,24.400
'8:22:08.264',-0.029,0.000,89.600,24.000
'8:22:08.272',-0.087,-0.048,86.400,23.200
'8:22:08.280',-0.067,-0.010,83.200,22.400
