'Elapsed time','II','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mmHg','mmHg'
'120:52:43.896',-0.104,-0.123,-,-,-
'120:52:43.904',-0.032,-0.061,-,-,-
'120:52:43.912',0.000,0.000,-,-,-
'120:52:43.920',0.008,0.009,-,-,-
'120:52:43.928',0.008,0.000,-,-,-
'120:52:43.936',0.000,0.009,-,-,-
'120:52:43.944',0.000,-0.018,-,-,-
'120:52:43.952',0.000,0.000,-,-,-
'120:52:43.960',-0.008,-0.009,-,-,-
'120:52:43.968',-0.016,0.000,-,-,-
'120:52:43.976',-0.024,-0.018,-,-,-
'120:52:43.984',-0.024,-0.018,-,-,-
'120:52:43.992',-0.032,-0.026,-,-,-
'120:52:44.000',-0.032,-0.018,-,-,-
'120:52:44.008',-0.040,-0.044,-,-,-
'120:52:44.016',-0.048,-0.035,-,-,-
'120:52:44.024',-0.056,-0.061,-,-,-
'120:52:44.032',-0.080,-0.061,-,-,-
'120:52:44.040',-0.112,-0.105,-,-,-
'120:52:44.048',-0.144,-0.132,-,-,-
'120:52:44.056',-0.176,-0.167,-,-,-
'120:52:44.064',-0.192,-0.184,-,-,-
'120:52:44.072',-0.184,-0.211,-,-,-
'120:52:44.080',-0.160,-0.193,-,-,-
'120:52:44.088',-0.112,-0.167,-,-,-
'120:52:44.096',-0.048,-0.096,-,-,-
'120:52:44.104',0.000,-0.026,-,-,-
'120:52:44.112',0.032,0.009,-,-,-
'120:52:44.120',0.048,0.018,-,-,-
'120:52:44.128',0.056,0.018,-,-,-
'120:52:44.136',0.064,0.035,-,-,-
'120:52:44.144',0.072,0.044,-,-,-
'120:52:44.152',0.072,0.061,-,-,-
'120:52:44.160',0.064,0.053,-,-,-
'120:52:44.168',0.056,0.061,-,-,-
'120:52:44.176',0.048,0.044,-,-,-
'120:52:44.184',0.040,0.053,-,-,-
'120:52:44.192',0.032,0.026,-,-,-
'120:52:44.200',0.024,0.026,-,-,-
'120:52:44.208',0.008,0.000,-,-,-
'120:52:44.216',0.008,0.026,-,-,-
'120:52:44.224',0.000,0.035,-,-,-
'120:52:44.232',0.000,0.018,-,-,-
'120:52:44.240',-0.008,0.000,-,-,-
'120:52:44.248',-0.024,0.000,-,-,-
'120:52:44.256',-0.056,-0.026,-,-,-
'120:52:44.264',-0.088,-0.061,-,-,-
'120:52:44.272',-0.120,-0.096,-,-,-
'120:52:44.280',-0.144,-0.105,-,-,-
'120:52:44.288',-0.176,-0.158,-,-,-
