'Elapsed time','I','II','AVF','V','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mmHg','mmHg'
'25:20:14.784',0.061,-,-,-0.040,125.600,-
'25:20:14.792',0.049,-,-,-0.020,125.600,-
'25:20:14.800',0.049,-,-,0.000,125.600,-
'25:20:14.808',0.037,-,-,0.000,126.400,-
'25:20:14.816',0.024,-,-,0.000,125.600,-
'25:20:14.824',0.024,-,-,0.000,123.200,-
'25:20:14.832',0.000,-,-,0.000,119.200,-
'25:20:14.840',0.000,-,-,-0.020,117.600,-
'25:20:14.848',-0.024,-,-,-0.040,116.000,-
'25:20:14.856',-0.024,-,-,-0.040,114.400,-
'25:20:14.864',-0.049,-,-,-0.040,112.000,-
'25:20:14.872',-0.061,-,-,-0.060,109.600,-
'25:20:14.880',-0.049,-,-,-0.080,107.200,-
'25:20:14.888',-0.061,-,-,-0.100,104.000,-
'25:20:14.896',-0.061,-,-,-0.080,99.200,-
'25:20:14.904',-0.061,-,-,-0.100,95.200,-
'25:20:14.912',-0.061,-,-,-0.080,91.200,-
'25:20:14.920',-0.061,-,-,-0.100,88.000,-
'25:20:14.928',-0.037,-,-,-0.060,85.600,-
'25:20:14.936',-0.024,-,-,-0.040,84.800,-
'25:20:14.944',-0.024,-,-,-0.040,84.800,-
'25:20:14.952',-0.024,-,-,-0.060,86.400,-
'25:20:14.960',-0.024,-,-,-0.060,85.600,-
'25:20:14.968',-0.012,-,-,-0.040,80.000,-
'25:20:14.976',0.000,-,-,-0.060,73.600,-
'25:20:14.984',-0.024,-,-,-0.100,72.800,-
'25:20:14.992',-0.037,-,-,-0.100,77.600,-
'25:20:15.000',-0.061,-,-,-0.100,80.000,-
'25:20:15.008',-0.061,-,-,-0.100,79.200,-
'25:20:15.016',-0.073,-,-,-0.100,77.600,-
'25:20:15.024',-0.085,-,-,-0.100,77.600,-
'25:20:15.032',-0.073,-,-,-0.100,77.600,-
'25:20:15.040',-0.085,-,-,-0.100,77.600,-
'25:20:15.048',-0.073,-,-,-0.100,76.800,-
'25:20:15.056',-0.085,-,-,-0.100,76.000,-
'25:20:15.064',-0.085,-,-,-0.100,75.200,-
'25:20:15.072',-0.073,-,-,-0.100,75.200,-
'25:20:15.080',-0.073,-,-,-0.080,75.200,-
'25:20:15.088',-0.085,-,-,-0.080,75.200,-
'25:20:15.096',-0.061,-,-,-0.080,74.400,-
'25:20:15.104',-0.073,-,-,-0.100,72.800,-
'25:20:15.112',-0.061,-,-,-0.060,72.000,-
'25:20:15.120',-0.110,-,-,-0.040,71.200,-
'25:20:15.128',-0.085,-,-,0.000,71.200,-
'25:20:15.136',0.061,-,-,0.120,71.200,-
'25:20:15.144',0.354,-,-,0.480,71.200,-
'25:20:15.152',0.610,-,-,0.860,70.400,-
'25:20:15.160',0.354,-,-,0.600,70.400,-
'25:20:15.168',0.073,-,-,0.260,69.600,-
'25:20:15.176',0.037,-,-,0.240,68.800,-
'25:20:15.184',0.061,-,-,0.300,68.000,-
'25:20:15.192',0.012,-,-,0.260,67.200,-
'25:20:15.200',-0.037,-,-,0.220,66.400,-
'25:20:15.208',-0.061,-,-,0.160,65.600,-
'25:20:15.216',-0.012,-,-,0.080,64.800,-
'25:20:15.224',0.000,-,-,0.000,64.000,-
'25:20:15.232',-0.012,-,-,-0.040,63.200,-
'25:20:15.240',0.000,-,-,-0.040,62.400,-
'25:20:15.248',-0.024,-,-,-0.040,62.400,-
'25:20:15.256',-0.024,-,-,-0.060,63.200,-
'25:20:15.264',-0.024,-,-,-0.060,63.200,-
'25:20:15.272',-0.012,-,-,-0.080,63.200,-
'25:20:15.280',-0.024,-,-,-0.060,65.600,-
'25:20:15.288',0.000,-,-,-0.080,68.800,-
'25:20:15.296',-0.012,-,-,-0.080,74.400,-
'25:20:15.304',0.000,-,-,-0.060,80.800,-
'25:20:15.312',0.000,-,-,-0.060,86.400,-
'25:20:15.320',0.000,-,-,-0.080,92.800,-
'25:20:15.328',0.000,-,-,-0.060,98.400,-
'25:20:15.336',0.000,-,-,-0.080,104.800,-
'25:20:15.344',0.000,-,-,-0.060,110.400,-
'25:20:15.352',0.024,-,-,-0.080,116.000,-
'25:20:15.360',0.024,-,-,-0.060,119.200,-
'25:20:15.368',0.037,-,-,-0.060,122.400,-
'25:20:15.376',0.049,-,-,-0.060,125.600,-
'25:20:15.384',0.049,-,-,-0.040,127.200,-
'25:20:15.392',0.049,-,-,-0.020,128.000,-
'25:20:15.400',0.049,-,-,-0.020,128.000,-
'25:20:15.408',0.049,-,-,0.000,128.000,-
'25:20:15.416',0.024,-,-,0.000,126.400,-
'25:20:15.424',0.037,-,-,0.000,124.800,-
'25:20:15.432',0.000,-,-,0.000,123.200,-
'25:20:15.440',0.000,-,-,0.000,121.600,-
'25:20:15.448',-0.012,-,-,-0.020,120.000,-
'25:20:15.456',-0.024,-,-,-0.040,118.400,-
'25:20:15.464',-0.049,-,-,-0.040,116.000,-
