'Elapsed time','II','III','AVF','V','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mmHg','mmHg'
'46:54:24.688',-0.056,-,-,-,0.408,56.000,13.320
'46:54:24.696',0.112,-,-,-,0.872,56.000,13.680
'46:54:24.704',0.408,-,-,-,0.936,56.000,13.920
'46:54:24.712',0.448,-,-,-,-0.448,56.000,14.280
'46:54:24.720',0.072,-,-,-,-0.672,55.200,14.760
'46:54:24.728',0.112,-,-,-,-0.320,55.200,15.120
'46:54:24.736',0.072,-,-,-,-0.016,55.200,15.480
'46:54:24.744',0.032,-,-,-,0.080,54.400,15.720
'46:54:24.752',0.032,-,-,-,0.096,54.400,15.720
'46:54:24.760',0.016,-,-,-,0.120,54.400,15.720
'46:54:24.768',0.016,-,-,-,0.120,54.400,15.480
'46:54:24.776',0.000,-,-,-,0.120,53.600,14.880
'46:54:24.784',0.016,-,-,-,0.120,53.600,14.280
'46:54:24.792',0.000,-,-,-,0.120,53.600,14.160
'46:54:24.800',0.016,-,-,-,0.120,53.600,15.120
'46:54:24.808',0.016,-,-,-,0.120,52.800,17.160
'46:54:24.816',0.000,-,-,-,0.120,52.800,19.680
'46:54:24.824',0.016,-,-,-,0.136,52.800,22.080
'46:54:24.832',0.016,-,-,-,0.160,53.600,24.480
'46:54:24.840',0.016,-,-,-,0.160,54.400,26.520
'46:54:24.848',0.032,-,-,-,0.160,56.800,28.320
'46:54:24.856',0.016,-,-,-,0.176,61.600,29.760
'46:54:24.864',0.032,-,-,-,0.200,68.000,30.720
'46:54:24.872',0.032,-,-,-,0.200,76.000,31.320
'46:54:24.880',0.032,-,-,-,0.224,84.000,31.320
'46:54:24.888',0.032,-,-,-,0.264,91.200,30.960
'46:54:24.896',0.056,-,-,-,0.264,96.800,30.480
'46:54:24.904',0.056,-,-,-,0.304,101.600,30.360
'46:54:24.912',0.056,-,-,-,0.320,104.800,30.360
'46:54:24.920',0.072,-,-,-,0.360,108.000,30.480
'46:54:24.928',0.056,-,-,-,0.384,110.400,31.080
'46:54:24.936',0.072,-,-,-,0.424,112.000,31.680
'46:54:24.944',0.072,-,-,-,0.464,112.800,32.160
'46:54:24.952',0.072,-,-,-,0.488,112.800,32.280
'46:54:24.960',0.096,-,-,-,0.528,112.000,32.520
'46:54:24.968',0.112,-,-,-,0.504,111.200,32.520
'46:54:24.976',0.112,-,-,-,0.528,110.400,32.280
'46:54:24.984',0.112,-,-,-,0.528,108.800,32.280
'46:54:24.992',0.112,-,-,-,0.488,107.200,32.160
'46:54:25.000',0.112,-,-,-,0.448,105.600,31.680
