'Elapsed time','I','II','III','AVL','AVF','MCL1','ABP','PAP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mmHg','mmHg'
'6:16:48.240',-0.024,-,-,-,0.060,-,92.800,40.400
'6:16:48.248',-0.016,-,-,-,0.060,-,88.000,40.800
'6:16:48.256',-0.016,-,-,-,0.040,-,83.200,41.400
'6:16:48.264',-0.008,-,-,-,0.040,-,79.200,41.800
'6:16:48.272',0.000,-,-,-,0.040,-,76.000,42.400
'6:16:48.280',0.000,-,-,-,0.020,-,74.400,42.600
'6:16:48.288',0.008,-,-,-,0.020,-,72.800,42.800
'6:16:48.296',0.016,-,-,-,0.020,-,73.600,43.000
'6:16:48.304',0.016,-,-,-,0.000,-,75.200,43.000
'6:16:48.312',0.024,-,-,-,0.000,-,78.400,43.000
'6:16:48.320',0.024,-,-,-,0.000,-,82.400,43.200
'6:16:48.328',0.032,-,-,-,0.000,-,88.000,43.600
'6:16:48.336',0.016,-,-,-,-0.020,-,92.800,43.800
'6:16:48.344',0.032,-,-,-,-0.020,-,97.600,44.000
'6:16:48.352',0.024,-,-,-,-0.020,-,100.800,44.400
'6:16:48.360',0.024,-,-,-,-0.040,-,104.000,44.400
'6:16:48.368',0.016,-,-,-,-0.040,-,106.400,44.200
'6:16:48.376',0.016,-,-,-,-0.040,-,107.200,43.800
'6:16:48.384',0.008,-,-,-,-0.040,-,107.200,43.400
'6:16:48.392',0.016,-,-,-,-0.040,-,107.200,42.800
'6:16:48.400',0.008,-,-,-,-0.040,-,105.600,42.400
'6:16:48.408',0.000,-,-,-,-0.040,-,103.200,41.800
'6:16:48.416',0.008,-,-,-,-0.040,-,100.800,41.400
'6:16:48.424',0.000,-,-,-,-0.040,-,97.600,41.000
'6:16:48.432',0.000,-,-,-,-0.040,-,92.800,40.600
'6:16:48.440',0.000,-,-,-,-0.040,-,88.000,40.000
'6:16:48.448',0.000,-,-,-,-0.040,-,82.400,39.400
'6:16:48.456',0.000,-,-,-,-0.040,-,79.200,39.000
'6:16:48.464',0.000,-,-,-,-0.040,-,76.000,38.400
'6:16:48.472',0.000,-,-,-,-0.040,-,75.200,38.000
'6:16:48.480',0.000,-,-,-,-0.040,-,75.200,37.600
'6:16:48.488',-0.008,-,-,-,-0.040,-,76.000,37.400
'6:16:48.496',0.000,-,-,-,-0.040,-,77.600,37.200
'6:16:48.504',0.000,-,-,-,-0.040,-,78.400,37.000
'6:16:48.512',0.000,-,-,-,-0.040,-,80.000,36.800
'6:16:48.520',-0.008,-,-,-,-0.040,-,80.800,36.800
'6:16:48.528',0.000,-,-,-,-0.040,-,80.800,36.600
'6:16:48.536',0.000,-,-,-,-0.040,-,80.800,36.400
'6:16:48.544',0.000,-,-,-,-0.040,-,80.000,36.200
'6:16:48.552',0.000,-,-,-,-0.040,-,78.400,35.800
'6:16:48.560',-0.008,-,-,-,-0.040,-,77.600,35.400
'6:16:48.568',0.000,-,-,-,-0.040,-,76.000,35.000
'6:16:48.576',0.000,-,-,-,-0.040,-,74.400,34.800
'6:16:48.584',0.000,-,-,-,-0.040,-,72.800,34.400
'6:16:48.592',0.000,-,-,-,-0.040,-,72.000,34.200
'6:16:48.600',0.000,-,-,-,-0.040,-,70.400,34.000
'6:16:48.608',-0.008,-,-,-,-0.040,-,69.600,33.800
'6:16:48.616',0.000,-,-,-,-0.040,-,69.600,33.400
'6:16:48.624',0.000,-,-,-,-0.040,-,68.800,33.200
'6:16:48.632',0.000,-,-,-,-0.040,-,68.000,32.800
'6:16:48.640',0.000,-,-,-,-0.040,-,68.000,32.600
'6:16:48.648',0.000,-,-,-,-0.040,-,67.200,32.400
'6:16:48.656',0.000,-,-,-,-0.040,-,67.200,32.400
'6:16:48.664',-0.008,-,-,-,-0.040,-,66.400,32.200
'6:16:48.672',0.000,-,-,-,-0.040,-,66.400,31.800
'6:16:48.680',0.000,-,-,-,-0.040,-,66.400,31.600
'6:16:48.688',-0.008,-,-,-,-0.040,-,65.600,31.400
'6:16:48.696',0.000,-,-,-,-0.040,-,65.600,31.200
'6:16:48.704',0.000,-,-,-,-0.040,-,64.800,31.000
'6:16:48.712',0.000,-,-,-,-0.040,-,64.800,30.800
'6:16:48.720',0.000,-,-,-,-0.040,-,64.000,30.600
'6:16:48.728',0.000,-,-,-,-0.040,-,64.000,30.400
'6:16:48.736',-0.008,-,-,-,-0.040,-,63.200,30.200
'6:16:48.744',0.000,-,-,-,-0.040,-,62.400,30.000
'6:16:48.752',0.000,-,-,-,-0.040,-,62.400,29.600
'6:16:48.760',0.000,-,-,-,-0.040,-,61.600,29.400
'6:16:48.768',0.000,-,-,-,-0.040,-,61.600,29.200
'6:16:48.776',0.000,-,-,-,-0.020,-,60.800,29.000
'6:16:48.784',0.000,-,-,-,-0.040,-,60.800,28.800
'6:16:48.792',0.000,-,-,-,-0.020,-,60.800,28.600
'6:16:48.800',0.000,-,-,-,-0.040,-,60.000,28.400
'6:16:48.808',0.000,-,-,-,-0.020,-,60.000,28.400
'6:16:48.816',0.000,-,-,-,-0.040,-,59.200,28.400
'6:16:48.824',0.000,-,-,-,-0.020,-,59.200,28.400
'6:16:48.832',0.000,-,-,-,-0.020,-,58.400,28.200
'6:16:48.840',0.000,-,-,-,-0.020,-,58.400,28.200
'6:16:48.848',0.000,-,-,-,-0.020,-,58.400,28.200
'6:16:48.856',0.000,-,-,-,-0.020,-,58.400,28.200
'6:16:48.864',0.000,-,-,-,-0.020,-,57.600,28.200
'6:16:48.872',0.000,-,-,-,-0.020,-,57.600,28.400
'6:16:48.880',0.000,-,-,-,-0.020,-,57.600,28.400
'6:16:48.888',0.000,-,-,-,-0.020,-,57.600,28.600
'6:16:48.896',0.000,-,-,-,-0.020,-,56.800,28.800
'6:16:48.904',0.000,-,-,-,0.000,-,56.800,29.000
'6:16:48.912',0.000,-,-,-,-0.020,-,56.800,29.000
'6:16:48.920',0.000,-,-,-,-0.020,-,56.000,29.200
'6:16:48.928',0.000,-,-,-,-0.020,-,56.000,29.400
'6:16:48.936',0.008,-,-,-,-0.040,-,56.000,29.400
'6:16:48.944',0.016,-,-,-,-0.020,-,55.200,29.400
'6:16:48.952',0.008,-,-,-,-0.040,-,55.200,29.400
'6:16:48.960',0.016,-,-,-,-0.020,-,54.400,29.400
'6:16:48.968',0.008,-,-,-,-0.040,-,54.400,29.400
'6:16:48.976',0.016,-,-,-,-0.020,-,53.600,29.400
'6:16:48.984',0.000,-,-,-,-0.040,-,53.600,29.600
'6:16:48.992',0.008,-,-,-,-0.020,-,53.600,30.000
'6:16:49.000',0.008,-,-,-,-0.020,-,53.600,30.200
'6:16:49.008',0.008,-,-,-,-0.020,-,53.600,30.400
'6:16:49.016',0.000,-,-,-,-0.020,-,53.600,30.600
'6:16:49.024',0.000,-,-,-,-0.020,-,53.600,30.800
'6:16:49.032',-0.008,-,-,-,-0.020,-,53.600,31.200
'6:16:49.040',0.000,-,-,-,0.000,-,53.600,31.600
'6:16:49.048',0.000,-,-,-,-0.020,-,52.800,32.000
'6:16:49.056',-0.008,-,-,-,0.000,-,52.800,32.200
'6:16:49.064',0.000,-,-,-,0.000,-,52.800,32.400
'6:16:49.072',-0.008,-,-,-,0.000,-,52.800,32.400
